categoria_oficial,mes,factor,anyos
1 and 2 gold stars and silver stars,1,0.6668076544959876,5
1 and 2 gold stars and silver stars,2,0.8084425788698063,5
1 and 2 gold stars and silver stars,3,0.8969373529014946,5
1 and 2 gold stars and silver stars,4,1.0798231584240707,5
1 and 2 gold stars and silver stars,5,1.1763736302111345,5
1 and 2 gold stars and silver stars,6,1.1983792802097402,5
1 and 2 gold stars and silver stars,7,1.0682572164912452,5
1 and 2 gold stars and silver stars,8,1.0496519872066772,4
1 and 2 gold stars and silver stars,9,1.198188780825211,4
1 and 2 gold stars and silver stars,10,1.1618231393459724,4
1 and 2 gold stars and silver stars,11,0.880199954597501,4
1 and 2 gold stars and silver stars,12,0.7431042759698483,4
3 gold stars,1,0.6788390752853323,5
3 gold stars,2,0.8485241886099203,5
3 gold stars,3,0.8718187385180649,5
3 gold stars,4,1.0982976117575016,5
3 gold stars,5,1.1420943049601957,5
3 gold stars,6,1.1972075933864053,5
3 gold stars,7,1.0625842008573176,5
3 gold stars,8,1.0413191679131872,4
3 gold stars,9,1.1599536108948931,4
3 gold stars,10,1.1382668993019367,4
3 gold stars,11,0.9034641826705991,4
3 gold stars,12,0.7878773267950268,4
4 gold stars,1,0.6963075479273796,5
4 gold stars,2,0.8920586228753078,5
4 gold stars,3,0.8765121974291331,5
4 gold stars,4,1.048010561849272,5
4 gold stars,5,1.1326528762305335,5
4 gold stars,6,1.1981594468663666,5
4 gold stars,7,1.0441420479007735,5
4 gold stars,8,1.0001421670264592,4
4 gold stars,9,1.1692961572761278,4
4 gold stars,10,1.1260413395428432,4
4 gold stars,11,0.9174085746712821,4
4 gold stars,12,0.7650094902776917,4
5 gold stars,1,0.7854798159083884,5
5 gold stars,2,0.8699688800514477,5
5 gold stars,3,1.0150183062908518,5
5 gold stars,4,0.977683818365944,5
5 gold stars,5,1.1102628567610233,5
5 gold stars,6,1.15872652144024,5
5 gold stars,7,1.1065100566959631,5
5 gold stars,8,1.0403286176508861,4
5 gold stars,9,1.1152744957132645,4
5 gold stars,10,1.0808762117531967,4
5 gold stars,11,0.8812119299604475,4
5 gold stars,12,0.8303224163768392,4
