licencia_id,nombre_comercial,direccion_consultada,lat,lon,etiqueta_icgc,geocodificado
HB-000005,Hostal Abrevadero,"Carrer Vila i Vilà 79, Barcelona",41.3741977,2.16847754,,True
HB-000006,Hostal Valls,"Carrer Laforja 82, Barcelona",41.39730878,2.14663789,,True
HB-000019,Hostal París,"Carrer Cardenal Casañas 4, Barcelona",41.38151775,2.17345019,,True
HB-000033,Hostal Operaramblas,"Carrer Sant Pau 20, Barcelona",41.38023634,2.17288382,,True
HB-000036,Jardí,"Plaça Sant Josep Oriol 1, Barcelona",41.38250273,2.17396256,,True
HB-000043,Montecarlo,"Carrer Rambla 124, Barcelona",41.37394283,2.16883799,,True
HB-000050,Comercio,"Carrer Escudellers 15, Barcelona",41.37936108,2.17607158,,True
HB-000081,Palermo,"Carrer Boqueria 21, Barcelona",41.38149616,2.17407083,,True
HB-000087,Fontanella Green House,"Via Laietana 71, Barcelona",41.38827082,2.17284373,,True
HB-000089,HOSTAL LEVANTE,"Carrer Baixada de Sant Miquel 2, Barcelona",41.38134104,2.1765847,,True
HB-000090,Layetana,"Plaça Ramon Berenguer el Gran 2, Barcelona",41.38460127,2.17744791,,True
HB-000094,Hostal Residencia Europa,"Carrer Boqueria 18, Barcelona",41.38152139,2.1744338,,True
HB-000097,Residencia 45,"Carrer Tallers 45, Barcelona",41.38479637,2.16797334,,True
HB-000157,Hostal Oliva,"Passeig Gràcia 32, Barcelona",41.39081934,2.16709172,,True
HB-000320,Goya,"Carrer Pau Claris 74, Barcelona",41.38938401,2.17174449,,True
HB-000362,Lima,"Carrer Fontanella 16, Barcelona",41.38798429,2.17249943,,True
HB-000439,Ciudad Condal,"Carrer Mallorca 255, Barcelona",41.39337193,2.16175861,,True
HB-000443,Lourdes,"Carrer Princesa 14, Barcelona",41.38484012,2.17991866,,True
HB-000448,Lirio,"Carrer Nou de Sant Francesc 23, Barcelona",41.37875896,2.17777534,,True
HB-000454,Barcelona Center Inn,"Carrer Gran Via Corts Catalanes 688, Barcelona",41.39318936,2.17372725,,True
HB-000456,Capitol,"Carrer Rambla 138, Barcelona",41.37312077,2.16798258,,True
HB-000457,SOM NIT PORT VELL,"Carrer Reina Cristina 2, Barcelona",41.38135744,2.18321589,,True
HB-000467,Palmera,"Carrer Jerusalem 30, Barcelona",41.38189524,2.1707537,,True
HB-000478,Turisol,"Passatge Escudellers 7, Barcelona",41.37888779,2.1767219,,True
HB-000485,Outsite Barcelona,"Carrer Simó Oller 1, Barcelona",41.37997958,2.17989358,,True
HB-000491,Bienestar,"Carrer Quintana 3, Barcelona",41.38128194,2.17433758,,True
HB-000502,Hostal Ruta de Francia,"Carrer Castillejos 204, Barcelona",41.4037968,2.18205223,,True
HB-000508,Hostal Rembrandt,"Carrer Portaferrissa 23, Barcelona",41.38378347,2.17349131,,True
HB-000516,som nit triomf,"Carrer Trafalgar 39, Barcelona",41.39002266,2.17710554,,True
HB-000701,GAT RAVAL,"Carrer de Joaquín Costa 44, Barcelona",41.38280939,2.16558179,,True
HB-000723,Orleans,"Avinguda Marquès de l'Argentera 13, Barcelona",41.38440389,2.18453051,,True
HB-000739,Portugal,"Carrer de Josep Anselm Clavé 27, Barcelona",41.37788792,2.17821929,,True
HB-000776,Boutique Barcelona,"Carrer Pau Claris 145, Barcelona",41.39388061,2.16541959,,True
HB-000782,Hostal BCN Ramblas,"Carrer Rambla 96, Barcelona",41.37570639,2.17066133,,True
HB-000801,Hostal Central Barcelona,"Carrer Diputació 346, Barcelona",41.39644632,2.17528966,,True
HB-000838,Aribau,"Carrer Aribau 37, Barcelona",41.38758673,2.16021558,,True
HB-000845,Hostal Santcarlo,"Plaça Urquinaona 5, Barcelona",41.38948805,2.17295069,,True
HB-000855,Amílcar,"Carrer Amílcar 118, Barcelona",41.42385563,2.17258536,,True
HB-000862,Norma,"Carrer Gran de Gràcia 87, Barcelona",41.40059298,2.15444412,,True
HB-000899,Parisien,"Carrer Rambla 114, Barcelona",41.37437511,2.16928131,,True
HB-000935,Mimi Las Ramblas,"Carrer Nou de la Rambla 1, Barcelona",41.37916642,2.17442328,,True
HB-000952,Girona,"Carrer Girona 24, Barcelona",41.39190984,2.17517259,,True
HB-000957,VAGANTO HOTEL S.L.,"Carrer d'en Fontrodona 1, Barcelona",41.37469466,2.16781434,,True
HB-000975,Fernando,"Carrer Ferran 31, Barcelona",41.38142014,2.17545488,,True
HB-001130,Hostal Razio Central Station BCN,"Carrer Hospital 93, Barcelona",41.38016898,2.16957164,,True
HB-001131,Albi,"Carrer Avinyó 58, Barcelona",41.38019022,2.17929159,,True
HB-001135,Bresus,"Carrer Sant Pere més Alt 61, Barcelona",41.38917081,2.17803777,,True
HB-001137,Canaletas,"Carrer Rambla 133, Barcelona",41.37321597,2.16832506,,True
HB-001187,Cerdanya Pensió,"Carrer Girona 35, Barcelona",41.39251473,2.17400032,,True
HB-001199,Colmenero,"Carrer Petritxol 12, Barcelona",41.38288232,2.17289696,,True
HB-001206,Villanueva,"Plaça Reial 2, Barcelona",41.38010135,2.17477304,,True
HB-001216,Solarium,"Carrer Guàrdia 13, Barcelona",41.37777199,2.17415488,,True
HB-001276,Coral,"Carrer Calella 1, Barcelona",41.38148514,2.17856331,,True
HB-001278,Sol y K,"Carrer Cervantes 2, Barcelona",41.38107387,2.17740529,,True
HB-001579,PENSION AROSA,"Avinguda del Portal de l'Àngel 14, Barcelona",41.38539309,2.17351036,,True
HB-001619,Noya,"Carrer Rambla 133, Barcelona",41.37321597,2.16832506,,True
HB-001620,Ciudadela,"Carrer Comerç 33, Barcelona",41.38470818,2.18469377,,True
HB-001665,Hostal Eixample,"Carrer Ausias Marc 19, Barcelona",41.39080402,2.17470887,,True
HB-001678,Benidorm,"Carrer Rambla 37, Barcelona",41.37778256,2.17298709,,True
HB-001690,El Puchi Barcelona,"Carrer Gran Via Corts Catalanes 576, Barcelona",41.38433247,2.16193662,,True
HB-001705,Venècia,"Carrer Junta del Comerç 13, Barcelona",41.37992219,2.17146078,,True
HB-001709,Francia,"Carrer Rera Palau 4, Barcelona",,,,False
HB-001747,Hostal Mont Thabor,"Carrer Rambla 86, Barcelona",41.37604423,2.1710122,,True
HB-001748,Picasso,"Carrer Rambla 25, Barcelona",41.37809151,2.17330758,,True
HB-001755,Nuevo Colón,"Avinguda Marquès de l'Argentera 19, Barcelona",41.38499288,2.18503212,,True
HB-001821,Hostal Ambos Mundos,"Plaça Reial 10, Barcelona",41.38022221,2.17559994,,True
HB-001847,Santo Domingo,"Carrer Sant Domènec del Call 3, Barcelona",41.39960836,2.15608949,,True
HB-001862,Las Flores,"Carrer Rambla 79, Barcelona",41.37642196,2.17157676,,True
HB-001883,Hostal Apolo,"Carrer Lafont 1, Barcelona",41.37380146,2.16942541,,True
HB-001931,Palacio,"Passeig Isabel II 10, Barcelona",41.38193324,2.18303623,,True
HB-001951,Chic  Basic Tallers,"Carrer Tallers 82, Barcelona",41.38526097,2.16431198,,True
HB-002004,Dani,"Carrer Tallers 9, Barcelona",41.38468756,2.16972063,,True
HB-002040,Hostal Felipe II,"Carrer Mallorca 329, Barcelona",41.3982317,2.16820769,,True
HB-002044,Casa de Barca,"Carrer Girona 4, Barcelona",41.39090744,2.17649293,,True
HB-002097,HOSTAL FINA,"Carrer de la Portaferrissa 11, Barcelona",41.38346329,2.17267617,,True
HB-002108,Alamar,"Carrer Comtessa de Sobradiel 1, Barcelona",41.38075666,2.17804835,,True
HB-002151,HOSTAL SANTA ANNA,"Carrer de Santa Anna 23, Barcelona",41.38542036,2.17156569,,True
HB-002161,Pensió Bertolin,"Carrer del Carme 116, Barcelona",41.37976358,2.16625073,,True
HB-002211,Hosteria Grau,"Carrer Ramelleres 27, Barcelona",41.38473225,2.16814766,,True
HB-002282,La Calma,"Carrer Lleona 8, Barcelona",41.38096628,2.17608165,,True
HB-002357,Hostal Lesseps,"Carrer Gran de Gràcia 239, Barcelona",41.40537782,2.15067405,,True
HB-002406,Nitzs BCN,"Carrer Calella 1, Barcelona",41.38148514,2.17856331,,True
HB-002491,Hostal Sans,"Carrer Antoni de Capmany 82, Barcelona",41.37503135,2.13542446,,True
HB-002600,Lleida,"Carrer Còrsega 201, Barcelona",41.39054569,2.1512164,,True
HB-002608,Alberdi,"Carrer Torrent de l' Olla 95, Barcelona",41.40189969,2.15735782,,True
HB-002619,Lausanne,"Avinguda Portal de l'Àngel 24, Barcelona",41.3859101,2.17286707,,True
HB-002662,Hostal La Terrassa,"Carrer Junta del Comerç 11, Barcelona",41.37999769,2.17139567,,True
HB-002694,Hostal Cèntric,"Carrer Casanova 13, Barcelona",41.38245621,2.16249035,,True
HB-002714,Hamsa House Hotel,"Carrer Nou de Zurbano 4, Barcelona",41.37951203,2.17556505,,True
HB-002721,Hostal Hill,"Carrer Provença 323, Barcelona",41.39903231,2.16700076,,True
HB-002741,Teruel,"Plaça Bonsuccés 6, Barcelona",41.38382674,2.16963089,,True
HB-002775,Hostal Barcelona,"Carrer Roser 40, Barcelona",41.37290068,2.16628973,,True
