licencia_id,nombre_comercial,municipio,codi_ine,comarca,tipo_via,nombre_via,numero,codigo_postal,categoria,plazas,habitaciones,nif,razon_social,tipo,es_persona_fisica,titular_id,lat,lon,metodo_match,similitud_nombre,piso,puerta,coordenada_compartida,nivel_geo
ATB-000001,Atenea Calabria,Barcelona,080193,Barcelonès,Carrer,Calabria,129,08015,Sense categoritzar,160,80,A08115669,"TEXFIL GANDUXER ALUM, SA",apartament_turistic,False,9,,,solo_registre,,,,False,municipio
ATB-000002,Voramar,Castelldefels,080569,Baix Llobregat,Carrer,Barques,2,08860,Sense categoritzar,36,18,B63470942,"CASTELLISCON, SL",apartament_turistic,False,583,,,solo_registre,,,,False,municipio
ATB-000003,Gutenberg,Barcelona,080193,Barcelonès,Passatge,Gutenberg,7,08001,Sense categoritzar,170,85,A08433989,"APARTAMENTOS GUTENBERG, SA",apartament_turistic,False,45,,,solo_registre,,,,False,municipio
ATB-000004,Montserrat,Sitges,082704,Garraf,Carrer,Antoni Gaudí,11,08870,Sense categoritzar,12,6,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000005,Silver,Barcelona,080193,Barcelonès,Carrer,Breton de los Herreros,26,08012,Sense categoritzar,98,49,A08139859,"PROYECTOS E INMUEBLES, S. A",apartament_turistic,False,14,,,solo_registre,,,,False,municipio
ATB-000006,Castellmar,Castelldefels,080569,Baix Llobregat,Passeig,Marítim,156,08860,Sense categoritzar,22,10,B61933511,"MARFINA APARTAMENTOS, SL",apartament_turistic,False,471,,,solo_registre,,,,False,municipio
ATB-000007,Marfina,Castelldefels,080569,Baix Llobregat,Passeig,Marítim,165,08860,Sense categoritzar,47,22,B61933511,"MARFINA APARTAMENTOS, SL",apartament_turistic,False,471,,,solo_registre,,,,False,municipio
ATB-000008,Porta Coeli,Castelldefels,080569,Baix Llobregat,Carrer,Tretze,18,08860,Sense categoritzar,34,15,B61933511,"MARFINA APARTAMENTOS, SL",apartament_turistic,False,471,,,solo_registre,,,,False,municipio
ATB-000009,SENATOR BARCELONA APARTMENTS,Barcelona,080193,Barcelonès,Via,Augusta,167,08021,Sense categoritzar,36,18,A08900334,APARTHOTEL SENATOR SA,apartament_turistic,False,71,,,solo_registre,,,,False,municipio
ATB-000010,Marítim,Castelldefels,080569,Baix Llobregat,Passeig,Marítim,255,08860,Sense categoritzar,52,20,B58323106,"CASELLSOL, SL",apartament_turistic,False,327,,,solo_registre,,,,False,municipio
ATB-000012,Velor,Castelldefels,080569,Baix Llobregat,Passeig,Espanya,47,08860,Sense categoritzar,80,32,B64471253,"CITYTRIP BARCELONA, SL",apartament_turistic,False,642,,,solo_registre,,,,False,municipio
ATB-000013,Amapola,Sitges,082704,Garraf,Carrer,Poeta Trinitat Catasus,7,08870,Sense categoritzar,48,24,B08370827,SUNWAY SL,apartament_turistic,False,211,,,solo_registre,,,,False,municipio
ATB-000014,San Jorge,Sitges,082704,Garraf,Carrer,Mossèn Llopis Pi,63-65,08870,Sense categoritzar,64,26,B08370827,SUNWAY SL,apartament_turistic,False,211,,,solo_registre,,,,False,municipio
ATB-000015,Apollo,Sitges,082704,Garraf,Carrer,Verge de Montserrat,32,08870,Sense categoritzar,60,30,B08370827,SUNWAY SL,apartament_turistic,False,211,,,solo_registre,,,,False,municipio
ATB-000016,Atlanta,Sitges,082704,Garraf,Carrer,Anselm Clavé,25,08870,Sense categoritzar,60,30,B08370827,SUNWAY SL,apartament_turistic,False,211,,,solo_registre,,,,False,municipio
ATB-000017,Arizona,Sitges,082704,Garraf,Carrer,Illa Cristina,3,08870,Sense categoritzar,48,12,B08370827,SUNWAY SL,apartament_turistic,False,211,,,solo_registre,,,,False,municipio
ATB-000018,Tara,Sitges,082704,Garraf,Carrer,Francesc Armengol,31,08870,Sense categoritzar,30,12,B08370827,SUNWAY SL,apartament_turistic,False,211,,,solo_registre,,,,False,municipio
ATB-000019,Atenea Park I,Vilanova i la Geltrú,083073,Garraf,Carrer,Juan Sebastian Elcano,4-10,08800,Sense categoritzar,76,38,B63015143,"SANOIMELS, S.L",apartament_turistic,False,551,,,solo_registre,,,,False,municipio
ATB-000020,Atenea Park II,Vilanova i la Geltrú,083073,Garraf,Carrer,Pere IV,35-39,08800,Sense categoritzar,80,40,B63015143,"SANOIMELS, S.L",apartament_turistic,False,551,,,solo_registre,,,,False,municipio
ATB-000021,Atenea Park III,Vilanova i la Geltrú,083073,Garraf,Carrer,Pere IV,31,08800,Sense categoritzar,46,23,B63015143,"SANOIMELS, S.L",apartament_turistic,False,551,,,solo_registre,,,,False,municipio
ATB-000022,La Falda del Montseny,Campins,080399,Vallès Oriental,Carretera,Sant Celoni-Santa Fe,"KM 5,3",08472,Sense categoritzar,20,10,B59794040,"LA FALDA DEL MONTSENY, SL",apartament_turistic,False,369,,,solo_registre,,,,False,municipio
