osm_id,tipo_local,nombre_comercial,tipo_cocina,calle,numero,codigo_postal,municipio,telefono,sitio_web,latitud,longitud,municipio_poligono,codi_ine,barrio,distrito
151218534,restaurant,Pans & Company,sandwich,,,,,,,41.7242743,1.8466648,Manresa,081136,,
191894875,fast_food,McDonald's,burger,,,,,,,41.3804543,2.1741843,Barcelona,080193,el Barri Gòtic,Ciutat Vella
191895326,fast_food,KFC,chicken,,,,,,,41.3803081,2.1743286,Barcelona,080193,el Barri Gòtic,Ciutat Vella
194541445,fast_food,Burger King,burger,,,,,,,41.3747708,2.1658516,Barcelona,080193,el Poble Sec,Sants-Montjuïc
208984374,restaurant,Central Rambla,,La Rambla,26,08002,,,,41.3782716,2.1761732,Barcelona,080193,el Barri Gòtic,Ciutat Vella
278695142,cafe,el centre,,,,,,,,42.1439352,2.5703042,,,,
288822232,pub,L'Estadi,,,,,,,,41.3055424,1.9954146,Gavà,080898,,
288822233,pub,Cassandra,,,,,,,,41.3058656,1.9964095,Gavà,080898,,
288822234,pub,,,,,,,,,41.3071421,1.9946304,Gavà,080898,,
310186363,fast_food,L'Ast de la Vall,,,,,,,,42.1442394,2.4587803,,,,
317180458,cafe,La Perla,,,,,,,,42.0319023,1.8820574,Gironella,080924,,
317180459,restaurant,La Destil·leria,,Avinguda Catalunya,14,08680,Gironella,,,42.0314152,1.8805437,Gironella,080924,,
317180460,restaurant,Cal Pajàres,,,,,,,,42.0258558,1.8783443,Gironella,080924,,
318788731,restaurant,Ateneu de Sant Just Desvern,,,,,,+34 934 73 41 28,,41.3816867,2.0766452,Sant Just Desvern,082212,,
318899121,restaurant,El Parador de Sant Just,,,,,,,,41.3824951,2.0740747,Sant Just Desvern,082212,,
319840473,restaurant,Amaltea,,,,,,,,41.3836428,2.1583028,Barcelona,080193,l'Antiga Esquerra de l'Eixample,Eixample
320194473,restaurant,Poc a Foc,,,,,,,,41.4947587,2.3736618,Premià de Mar,081727,,
350443478,restaurant,el Carpi,regional,,,,,,,41.5763074,1.6610365,Òdena,081430,,
350443811,cafe,,,,,,,,,41.5772875,1.6074957,Santa Margarida de Montbui,082508,,
355897030,restaurant,Canaletes,regional,,,,,,,41.587118,1.6210373,Igualada,081022,,
355897795,restaurant,Ca la Gracieta,regional,,,,,,,42.2176642,2.4422361,,,,
355899850,restaurant,Bar-Restaurant Jordi,regional,Avinguda de Manresa,,,,,,41.6065598,1.6445688,Òdena,081430,,
355899854,restaurant,Samuntà,regional,,,,,,,41.6176756,1.6505232,Òdena,081430,,
356010269,bar,Casino Girona,,,,,,,,41.9858548,2.8227549,,,,
356968569,cafe,La Canelita,,,,,,,,41.490389,2.1412893,Cerdanyola del Vallès,082665,,
357101435,restaurant,La Espinica,,,,,,,,41.4904503,2.1416965,Cerdanyola del Vallès,082665,,
357101439,fast_food,Frankfurt Hessen,hot_dog,,,,,,,41.4902853,2.1420153,Cerdanyola del Vallès,082665,,
357101444,restaurant,El Viejo Roble,regional,,,,,,,41.4902204,2.1406477,Cerdanyola del Vallès,082665,,
357101448,fast_food,Kebap House 2,kebab,,,,,,,41.4903484,2.1409323,Cerdanyola del Vallès,082665,,
357101453,fast_food,King Kebab,kebab,,,,,,,41.490487,2.1406742,Cerdanyola del Vallès,082665,,
359211270,restaurant,Nueva China,chinese,,,,,,,41.4902107,2.1411346,Cerdanyola del Vallès,082665,,
361418507,restaurant,,greek,,,,,,,41.5759574,1.6287464,Igualada,081022,,
364190527,restaurant,Bosc Tancat,,Carrer Riu Sec,,08290,Cerdanyola del Vallès,+34 93 586 31 32,https://bosctancat.net,41.5018499,2.1310831,Cerdanyola del Vallès,082665,,
364731424,restaurant,Hanibishi,japanese,,,,,,,41.3895184,2.1621769,Barcelona,080193,l'Antiga Esquerra de l'Eixample,Eixample
364829711,restaurant,Moncho's House,regional,,,,,,,41.3899967,2.1318367,Barcelona,080193,les Corts,Les Corts
364838793,restaurant,Taller de Tapas,spanish,Carrer de l'Argenteria,51,08003,Barcelona,+34 932 68 85 59,https://tallerdetapas.com,41.3836716,2.1806392,Barcelona,080193,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella
365022061,restaurant,,regional,,,,,,,41.5958167,1.6895645,Castellolí,080636,,
365048075,restaurant,Can Mach,regional,,,,,+34 972 54 42 21,http://www.canmach.com,42.3800266,2.7011886,,,,
365288417,restaurant,El Jardí de l'Abadessa,,,,,,,https://www.jardiabadessa.com,41.3942273,2.109899,Barcelona,080193,Pedralbes,Les Corts
367875790,restaurant,Can Pep,regional,,,,,,,41.776442,1.4389808,Castellfollit de Riubregós,080608,,
367880442,restaurant,Carnivor,regional,"Carretera de Vilafranca, Km 4,6",,08810,,,,41.2767847,1.7613323,Sant Pere de Ribes,082310,,
374294913,restaurant,Prats Jardí,regional,,,,,,,41.7074304,1.5352002,els Prats de Rei,081705,,
391095223,cafe,Leymar,,,,,,,,41.5448773,2.4304095,Mataró,081213,,
391784246,restaurant,,regional,,,,,,,41.5529522,1.6756091,la Pobla de Claramunt,081653,,
394737756,restaurant,el Castell del Brull,regional,,,,,+34 93 884 00 63,,41.817083,2.3031447,el Brull,080266,,
403798096,restaurant,La Bimba,regional,,,,,,,41.6416105,2.2320773,Santa Eulàlia de Ronçana,082482,,
408203984,restaurant,La Boga d'Or,regional,,,,,,,41.1450586,1.4143805,,,,
414328790,restaurant,Calasanz,,,,,,,,41.4091724,2.0202272,Molins de Rei,081234,,
418208527,restaurant,La Mama,,Carretera de Bigues a Lliçà d'Amunt,,08187,Santa Eulàlia de Ronçana,+34 938 446 406,,41.6601069,2.2290388,Santa Eulàlia de Ronçana,082482,,
418744309,restaurant,Bar Tomás,,,,,,,,41.3975532,2.1230797,Barcelona,080193,Sarrià,Sarrià-Sant Gervasi
420172672,restaurant,El Mascarón,regional,,,,,,,41.2341141,1.804765,Sitges,082704,,
420172674,restaurant,La Nina,regional,,,,,,,41.2342908,1.8053026,Sitges,082704,,
420172675,restaurant,La Santa Maria,regional,,,,,,,41.2346069,1.8061586,Sitges,082704,,
420172678,bar,Sports Bar Sitges,,Passeig de la Ribera,48,08870,Sitges,,,41.2347179,1.8064412,Sitges,082704,,
420172685,restaurant,Yamuna,,Passeig de la Ribera,38,08870,,,,41.2348598,1.8075545,Sitges,082704,,
420329401,restaurant,Eguzki Lizarran,regional,Carrer de Sant Pau,3,08870,Sitges,,,41.2363165,1.8090734,Sitges,082704,,
420329408,restaurant,Pizza Marzano,italian,,,,,,,41.2339151,1.8040053,Sitges,082704,,
420331326,restaurant,Los Vikingos,international,Carrer del Marquès de Mont-Roig,7,08870,Sitges,,https://www.losvikingos.com/,41.2358556,1.8066991,Sitges,082704,,
424297676,restaurant,Kansas,,,,,,,,41.2330176,1.8023751,Sitges,082704,,
432592965,cafe,Mendizabal,sandwich,,,,,,,41.3803452,2.170768,Barcelona,080193,el Raval,Ciutat Vella
432834944,restaurant,Prius Vitis,regional,,,,,,,41.6334845,2.7213094,Santa Susanna,082613,,
436569075,restaurant,Ca n'horta d'en Puig,,Carretera d'anglès,,17441,Brunyola,+34 972 42 20 08,,41.9023726,2.6593094,,,,
441947245,pub,Carry's,,,,,,,,41.5725558,1.6065872,Santa Margarida de Montbui,082508,,
441947247,pub,Madaleno,,,,,,,,41.5730382,1.6076772,Santa Margarida de Montbui,082508,,
441947257,cafe,Giorgio,,Carretera de Valls,75,08710,Santa Margarida de Montbui,,,41.5734075,1.608906,Santa Margarida de Montbui,082508,,
441947270,pub,,,,,,,,,41.5744722,1.6076821,Santa Margarida de Montbui,082508,,
441947273,pub,Los olivos,,,,,,,,41.5752394,1.6075862,Santa Margarida de Montbui,082508,,
441947274,pub,Torrent,,,,,,,,41.5758125,1.6088773,Santa Margarida de Montbui,082508,,
442887293,restaurant,Hostal Jaumet,,,,,,,,41.8098632,1.4031413,,,,
448604029,restaurant,La Tagliatella,italian,Carrer de Vistalegre,4,08921,,+34 93 466 38 38,https://www.latagliatella.es/ca,41.4523498,2.2087628,Santa Coloma de Gramenet,082457,,
448604036,pub,El 9 Carrer,,Carrer de Josep Anselm Clave,1,08921,,,,41.4523112,2.2083833,Santa Coloma de Gramenet,082457,,
448604042,restaurant,Pizzeria Pulcinella,italian,Carrer del Doctor Ferran,2,08921,Santa Coloma de Gramenet,+34933921105,https://www.pizzeriapulcinella.com/,41.4540651,2.2064721,Santa Coloma de Gramenet,082457,,
455931102,bar,Bar Gironella,,Avinguda Catalunya,83,08680,Gironella,,,42.0345778,1.8799697,Gironella,080924,,
455931106,bar,Jomaja,,Avinguda Catalunya,64,08680,Gironella,,,42.0361315,1.8801534,Gironella,080924,,
455931113,bar,Raco de l'Auri,,,,,,,,42.0337999,1.8800884,Gironella,080924,,
455931117,restaurant,Arsenal,regional,Avinguda Catalunya,20,08680,Gironella,,,42.0317364,1.8805344,Gironella,080924,,
455931122,bar,La Tasca,,Avinguda Catalunya,32,08680,Gironella,,,42.0324582,1.8804651,Gironella,080924,,
457506829,restaurant,l'Hostal d'en Vilar,,,,,,,,42.2211072,2.8211548,,,,
469721554,fast_food,Telepizza,pizza,carrer del Guadiana,8,,,,,41.4846399,2.1889426,Montcada i Reixac,081252,,
476327681,restaurant,Can Paixano,spanish,Carrer de la Reina Cristina,7,,,+34 933 100 839,https://www.canpaixano.com/,41.3817618,2.1834151,Barcelona,080193,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella
482327402,fast_food,Da Vinci,pizza,,,,,,,41.9845052,2.8203566,,,,
485958229,fast_food,Xurreria l'avi Andrés,churro,rambla dels Països Catalans,0,,08110,,,41.4892598,2.1869801,Montcada i Reixac,081252,,
487674556,restaurant,Montgrony,,,,,,,,42.2656607,2.0854985,,,,
499122827,pub,Chiribito,,Passeig de Fabra i Puig,266,08031,,,,41.4304493,2.1743213,Barcelona,080193,el Turó de la Peira,Nou Barris
499122828,bar,La Flor,,,,,Barcelona,,,41.4320716,2.1737237,Barcelona,080193,el Turó de la Peira,Nou Barris
499122829,cafe,The New Orleans Coffee & Tea Company,,,,,,,,41.4305166,2.1725195,Barcelona,080193,el Turó de la Peira,Nou Barris
499122830,pub,Cotxeres,,,,,,,,41.4281914,2.1757408,Barcelona,080193,Vilapicina i la Torre Llobeta,Nou Barris
