nif,titular_id
A01386044,1
A07030125,2
A07051881,3
A07738933,4
A08010043,5
A08027963,6
A08052441,7
A08089005,8
A08115669,9
A08121089,10
A08129058,11
A08134454,12
A08139339,13
A08139859,14
A08153173,15
A08193732,16
A08197386,17
A08225013,18
A08229114,19
A08230245,20
A08230252,21
A08230286,22
A08238479,23
A08239683,24
A08240525,25
A08241929,26
A08243354,27
A08249393,28
A08251613,29
A08258857,30
A08264657,31
A08276479,32
A08283061,33
A08286700,34
A08307563,35
A08329419,36
A08335135,37
A08367898,38
A08368094,39
A08369027,40
A08371346,41
A08376543,42
A08405490,43
A08426421,44
A08433989,45
A08436677,46
A08452567,47
A08456964,48
A08477713,49
A08504631,50
A08520876,51
A08523540,52
A08586539,53
A08667149,54
A08687477,55
A08705584,56
A08747800,57
A08747826,58
A08791790,59
A08796518,60
A08800971,61
A08803108,62
A08815037,63
A08815185,64
A08831869,65
A08847758,66
A08864712,67
A08893448,68
A08898405,69
A08899866,70
A08900334,71
A08901258,72
A08930208,73
A08941221,74
A08949646,75
A17013731,76
A17015892,77
A17021312,78
A17027186,79
A25045204,80
A28059483,81
A28103182,82
A38385712,83
A38405841,84
A38453395,85
A41390022,86
A50138577,87
A58008186,88
A58017781,89
A58032277,90
A58063637,91
A58066390,92
A58105222,93
A58107889,94
A58140872,95
A58191800,96
A58216664,97
A58238148,98
A58242223,99
A58253816,100
A58260860,101
A58270760,102
A58288788,103
A58293895,104
A58294414,105
A58294786,106
A58315458,107
A58335464,108
A58346370,109
A58349101,110
A58377052,111
A58377540,112
A58392366,113
A58420167,114
A58431693,115
A58437724,116
A58440769,117
A58468844,118
A58469255,119
A58470022,120
A58479015,121
A58489238,122
A58510546,123
A58511882,124
A58604547,125
A58663691,126
A58664764,127
A58741547,128
A58744913,129
A58768151,130
A58770371,131
A58800475,132
A58886987,133
A58953506,134
A58969783,135
A58973587,136
A58980889,137
A59059469,138
A59068379,139
A59084368,140
A59091272,141
A59114744,142
A59121822,143
A59121830,144
A59151803,145
A59307934,146
A59783514,147
A59813493,148
A59837369,149
A59875864,150
A59934117,151
A60129863,152
A60890043,153
A60890050,154
A61307369,155
A61378733,156
A61401758,157
A61691739,158
A62325543,159
A62618780,160
A62636907,161
A63440200,162
A63766018,163
A66081035,164
A66283144,165
A78304516,166
A79703153,167
A79855201,168
A80239007,169
A80546088,170
A82756610,171
A82919945,172
A83056911,173
A83992404,174
B01538214,175
B01548569,176
B01609304,177
B01661057,178
B01756139,179
B01887777,180
B01899053,181
B01928241,182
B02791895,183
B02792307,184
B02793685,185
B02797991,186
B02826881,187
B02902278,188
B04945671,189
B04983755,190
B04985008,191
B05430996,192
B07603046,193
B08122871,194
B08152456,195
B08153595,196
B08155236,197
B08156705,198
B08158339,199
B08165938,200
B08179608,201
B08193534,202
B08205858,203
B08214595,204
B08236127,205
B08244261,206
B08256547,207
B08261968,208
B08303836,209
B08367898,210
B08370827,211
B08404386,212
B08411233,213
B08486342,214
B08516973,215
B08595068,216
B08676090,217
B08710402,218
B08719122,219
B08796591,220
B08798837,221
B08815441,222
B08815904,223
B08829871,224
B08838930,225
B08854960,226
B08854978,227
B08854986,228
B08857237,229
B08869331,230
B08873861,231
B08945602,232
B09469594,233
B09741471,234
B09762758,235
B09836701,236
B09920331,237
B10532000,238
B10565745,239
B10569978,240
B10844983,241
B10856805,242
B10865301,243
B12668950,244
B12851747,245
B12970729,246
B13803234,247
B13886783,248
B13943071,249
B16733982,250
B16745507,251
B16765588,252
B16784035,253
B16810178,254
B17017062,255
B17085622,256
B17092123,257
B17166414,258
B17528068,259
B17528092,260
B17557141,261
B17597121,262
B17647678,263
B17706649,264
B17869835,265
B17890153,266
B17929944,267
B17943168,268
B18500157,269
B19629344,270
B19629443,271
B20673893,272
B21725387,273
B21815311,274
B22438097,275
B22589378,276
B22744502,277
B22765051,278
B24988594,279
B25582313,280
B28061976,281
B28127835,282
B28444594,283
B31448822,284
B36009611,285
B42743385,286
B42915256,287
B42929059,288
B42966788,289
B43067172,290
B43656164,291
B43666775,292
B43683184,293
B44704385,294
B44832079,295
B46043238,296
B50883958,297
B55014104,298
B55138770,299
B55186787,300
B55199913,301
B55215800,302
B55225346,303
B55667364,304
B56248081,305
B56376783,306
B56436413,307
B56459589,308
B56488554,309
B56893506,310
B56931579,311
B56983893,312
B57101974,313
B57311433,314
B57689648,315
B58008780,316
B58014382,317
B58018888,318
B58082108,319
B58109752,320
B58110438,321
B58120775,322
B58227877,323
B58253477,324
B58266784,325
B58298035,326
B58323106,327
B58354713,328
B58381682,329
B58434671,330
B58456161,331
B58463175,332
B58469826,333
B58487570,334
B58500547,335
