id,name,host_id,host_name,calculated_host_listings_count,neighbourhood_group,neighbourhood,latitude,longitude,room_type,property_type,accommodates,bedrooms,beds,minimum_nights,precio_anuncio,precio_por_plaza,availability_365,number_of_reviews,number_of_reviews_ltm,last_review,review_scores_rating,license,price,licencia_regional,categoria_licencia,licencia_norm,prefijo,consta_en_registro,estado_licencia,motivo_estado,last_review_dt,motivo_exclusion
71520,Charming apartment with fantastic views!,366428.0,Ariadna,1.0,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,Entire rental unit,9.0,3.0,5.0,5.0,417.8,46.42,363,1,0,2011-06-23,5.0,Barcelona - Regional registration number<br />HUTB-007966,417.8,HUTB-007966,Apartamento turístico (HUTB / TU),HUTB-007966,HUTB,True,con_licencia,consta en el registro oficial,2011-06-23,sin_actividad_desde_09_2025
206167,"Bright, comfy, central and with character",1014050.0,Minerva,1.0,Sants-Montjuïc,el Poble Sec,41.37203,2.16343,Entire home/apt,Entire rental unit,2.0,1.0,,3.0,187.33,93.66,14,181,8,2025-08-31,4.9,Barcelona - Regional registration number<br />HUTB-009804<br /><br />Spain - National registration number<br />ESFCTU00000806900003703600000000000000HUTB-009804-558,187.33,HUTB-009804,Apartamento turístico (HUTB / TU),HUTB-009804,HUTB,True,con_licencia,consta en el registro oficial,2025-08-31,sin_actividad_desde_09_2025
288034,pb5 NICE BARCELONA QUIET & WITH TERRACE NICE FLAT,1447144.0,Acomodis Apartments,448.0,Eixample,la Nova Esquerra de l'Eixample,41.38839,2.15019,Entire home/apt,Entire rental unit,2.0,1.0,2.0,30.0,88.13,44.06,365,19,0,2019-10-31,4.65,Barcelona - Regional registration number<br />HUTB-000166,88.13,HUTB-000166,Apartamento turístico (HUTB / TU),HUTB-000166,HUTB,True,con_licencia,consta en el registro oficial,2019-10-31,sin_actividad_desde_09_2025
347824,"Ideal Happy Location Barceloneta Beach, Old Town",1447144.0,Acomodis Apartments,448.0,Ciutat Vella,la Barceloneta,41.3764,2.19102,Entire home/apt,Entire rental unit,3.0,1.0,3.0,2.0,302.5,100.83,365,3,0,2024-02-19,4.0,Barcelona - Regional registration number<br />HUTB-076700,302.5,HUTB-076700,Apartamento turístico (HUTB / TU),HUTB-076700,HUTB,True,con_licencia,consta en el registro oficial,2024-02-19,sin_actividad_desde_09_2025
384464,Paseo de Gracia / Plaza Catalunya,674212.0,Juanmi,3.0,Eixample,la Dreta de l'Eixample,41.38992,2.16974,Entire home/apt,Entire rental unit,4.0,1.0,1.0,1.0,400.0,100.0,302,228,0,2024-05-14,4.97,Barcelona - Regional registration number<br />HUTB-011183<br /><br />Spain - National registration number<br />ESFCTU00000805400050315500000000000000000HUTB-0111834,400.0,HUTB-011183,Apartamento turístico (HUTB / TU),HUTB-011183,HUTB,True,con_licencia,consta en el registro oficial,2024-05-14,sin_actividad_desde_09_2025
424294,pdf3 TRENDY 1 BEDR. FLAT IN EL BORN,1447144.0,Acomodis Apartments,448.0,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3884,2.17936,Entire home/apt,Entire rental unit,4.0,1.0,2.0,2.0,325.5,81.38,365,3,0,2012-09-28,5.0,Barcelona - Regional registration number<br />HUTB-002791,325.5,HUTB-002791,Apartamento turístico (HUTB / TU),HUTB-002791,HUTB,True,con_licencia,consta en el registro oficial,2012-09-28,sin_actividad_desde_09_2025
443110,Mercedes Heritage - 2 Bedroom Apartment,2201772.0,Mercedes Heritage Apartments,8.0,Eixample,l'Antiga Esquerra de l'Eixample,41.3879153,2.1522402,Entire home/apt,Entire serviced apartment,3.0,2.0,2.0,1.0,205.0,68.33,111,54,0,2025-05-22,4.58,Spain - National registration number<br />ESFCTU00A00806000017771500000000000000000HUTB-0097614<br /><br />Barcelona - Regional registration number<br />HUTB-009761,205.0,HUTB-009761,Apartamento turístico (HUTB / TU),HUTB-009761,HUTB,True,con_licencia,consta en el registro oficial,2025-05-22,sin_actividad_desde_09_2025
512666,"bcn-rentals-ramblas 4, just 7-10 min to Ramblas",488117.0,David Y Maria,4.0,Ciutat Vella,el Raval,41.37779,2.16729,Entire home/apt,Entire rental unit,6.0,2.0,6.0,1.0,411.0,68.5,113,73,1,2025-07-14,4.67,Spain - National registration number<br />ESHFTU00000805600069091000200000000000000HUTB-0038723<br /><br />Barcelona - Regional registration number<br />HUTB-003872,411.0,HUTB-003872,Apartamento turístico (HUTB / TU),HUTB-003872,HUTB,True,con_licencia,consta en el registro oficial,2025-07-14,sin_actividad_desde_09_2025
594235,Sunny apartment in Gracia,2934588.0,Aleix Y Alba,1.0,Gràcia,la Vila de Gràcia,41.40253,2.15386,Entire home/apt,Entire rental unit,2.0,2.0,,7.0,,,0,138,0,2021-02-28,4.88,Barcelona - Regional registration number<br />HUTB-007671,,HUTB-007671,Apartamento turístico (HUTB / TU),HUTB-007671,HUTB,True,con_licencia,consta en el registro oficial,2021-02-28,sin_actividad_desde_09_2025
619728,Atico Sagrada Familia,2439400.0,KeyBarcelona,27.0,Eixample,la Sagrada Família,41.40118,2.17793,Entire home/apt,Entire rental unit,4.0,2.0,3.0,2.0,428.0,107.0,305,100,0,2025-01-26,4.25,Spain - National registration number<br />ESFCTU00000807300008451800000000000000000HUTB-0000259<br /><br />Barcelona - Regional registration number<br />HUTB-000025,428.0,HUTB-000025,Apartamento turístico (HUTB / TU),HUTB-000025,HUTB,True,con_licencia,consta en el registro oficial,2025-01-26,sin_actividad_desde_09_2025
