id,host_id,host_perfil,regimen,cesion_entera,estado_actividad,sujeto_a_ley_vut,motivo_exclusion,neighbourhood_group,neighbourhood,room_type,property_type,accommodates,bedrooms,minimum_nights,uso_turistico,borde_31_noches,licencia_regional,vivienda_id,anuncios_de_la_vivienda,es_repeticion,precio_anuncio,precio_por_plaza,precio_plaza_anual,banda_plaza,factor_temporada,number_of_reviews_ltm,availability_365,license,situacion,sujeto_a_vut,sin_licencia,actividad_reciente
36763,158596.0,solo_sin_licencia,sin_declarar,False,inactivo,False,no_es_cesion_entera,Ciutat Vella,la Barceloneta,Private room,Private room in rental unit,1.0,,31.0,True,True,,anuncio:36763,1,False,43.24,43.24,36.39,€,1.188,0,38,,sin_declarar,False,False,False
71520,366428.0,solo_con_licencia,vivienda_uso_turistico,True,inactivo,False,sin_actividad,Gràcia,Vallcarca i els Penitents,Entire home/apt,Entire rental unit,9.0,3.0,5.0,True,False,HUTB-007966,HUTB-007966,1,False,417.8,46.42,39.07,€,1.188,0,363,Barcelona - Regional registration number<br />HUTB-007966,licencia_verificada,True,False,False
71736,368317.0,solo_sin_licencia,sin_declarar,True,inactivo,False,sin_actividad,Ciutat Vella,el Raval,Entire home/apt,Entire rental unit,5.0,4.0,31.0,True,True,Exempt - seasonal rental,anuncio:71736,1,False,107.61,21.52,18.11,€,1.188,0,361,Spain - National registration number<br />ESFCNT00000805600004336500000000000000000000000000009<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,True,False,False
136670,610674.0,,sin_declarar,False,activo,False,no_es_cesion_entera,Les Corts,Pedralbes,Private room,Private room in rental unit,1.0,,32.0,False,False,Exempt - seasonal rental,anuncio:136670,1,False,51.12,51.12,43.03,€€,1.188,7,363,Barcelona - Regional registration number<br />Exempt - seasonal rental<br /><br />Spain - National registration number<br />ESHFNT00000806000011522900400000000000000000000000008,exencion_declarada,False,False,True
144471,700165.0,solo_sin_licencia,sin_declarar,False,activo,False,no_es_cesion_entera,Eixample,Sant Antoni,Private room,Private room in rental unit,2.0,,3.0,True,False,,anuncio:144471,1,False,131.0,65.5,55.13,€€,1.188,14,61,,sin_declarar,False,False,True
144801,701493.0,,sin_declarar,True,inactivo,False,estancia_de_32_noches,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,Entire rental unit,2.0,1.0,32.0,False,False,Exempt - seasonal rental,anuncio:144801,1,False,59.59,29.8,25.08,€,1.188,0,83,Spain - National registration number<br />ESFCNT00000805400000857500000000000000000000000000001<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,False
147275,711907.0,sin_anuncios_turisticos,sin_declarar,False,activo,False,no_es_cesion_entera,Horta-Guinardó,el Guinardó,Private room,Private room in rental unit,1.0,,31.0,True,True,Exempt - seasonal rental,anuncio:147275,1,False,16.92,16.92,14.24,€,1.188,3,226,Spain - National registration number<br />Exempt - tourist apartment<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,False
183650,880805.0,solo_sin_licencia,sin_declarar,False,inactivo,False,no_es_cesion_entera,Eixample,Sant Antoni,Private room,Private room in rental unit,1.0,1.0,1.0,True,False,,anuncio:183650,1,False,142.0,142.0,119.52,€€€,1.188,0,343,,sin_declarar,False,False,False
190348,919480.0,solo_sin_licencia,sin_declarar,False,inactivo,False,no_es_cesion_entera,Les Corts,Pedralbes,Private room,Private room in rental unit,2.0,,7.0,True,False,,anuncio:190348,1,False,,,,,1.188,0,0,,sin_declarar,False,False,False
256354,1348378.0,solo_sin_licencia,sin_declarar,False,activo,False,no_es_cesion_entera,Gràcia,Vallcarca i els Penitents,Private room,Private room in rental unit,1.0,,31.0,True,True,,anuncio:256354,1,False,,,,,1.188,4,23,,sin_declarar,False,False,True
274156,1447144.0,mixto,sin_declarar,True,inactivo,False,sin_actividad,Sants-Montjuïc,el Poble Sec,Entire home/apt,Entire rental unit,3.0,2.0,1.0,True,False,,anuncio:274156,1,False,263.0,87.67,73.79,€€€,1.188,0,365,Spain - National registration number<br />ESFCTU00000806900024325300000000000000000HUTB-0002190,hutb_no_verificable,True,False,False
275350,1435464.0,mixto,sin_declarar,True,activo,False,estancia_de_32_noches,Ciutat Vella,el Raval,Entire home/apt,Entire serviced apartment,5.0,3.0,32.0,False,False,Exempt - seasonal rental,anuncio:275350,1,False,124.2,24.84,20.91,€,1.188,2,342,Spain - National registration number<br />ESFCNT00000805600074468200000000000000000000000000009<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,True
288034,1447144.0,mixto,vivienda_uso_turistico,True,inactivo,False,sin_actividad,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,Entire rental unit,2.0,1.0,30.0,True,False,HUTB-000166,HUTB-000166,6,False,88.13,44.06,37.08,€,1.188,0,365,Barcelona - Regional registration number<br />HUTB-000166,licencia_verificada,True,False,False
290535,1447144.0,mixto,sin_declarar,True,activo,False,estancia_de_32_noches,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,Entire rental unit,6.0,3.0,32.0,False,False,,anuncio:290535,1,False,174.47,29.08,24.48,€,1.188,1,349,Spain - National registration number<br />ESFCNT00000811900012192800000000000000000000000000001,sin_declarar,False,False,False
341563,1447144.0,mixto,vivienda_uso_turistico,True,inactivo,False,estancia_de_32_noches,Les Corts,les Corts,Entire home/apt,Entire rental unit,2.0,1.0,32.0,False,False,HUTB-008594,HUTB-008594,3,False,84.68,42.34,35.64,€,1.188,0,365,Barcelona - Regional registration number<br />HUTB-008594,licencia_verificada,False,False,False
347824,1447144.0,mixto,vivienda_uso_turistico,True,inactivo,False,sin_actividad,Ciutat Vella,la Barceloneta,Entire home/apt,Entire rental unit,3.0,1.0,2.0,True,False,HUTB-076700,HUTB-076700,1,False,302.5,100.83,84.87,€€€,1.188,0,365,Barcelona - Regional registration number<br />HUTB-076700,licencia_verificada,True,False,False
353640,1791076.0,solo_sin_licencia,sin_declarar,True,inactivo,False,sin_actividad,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,Entire rental unit,3.0,2.0,1.0,True,False,,anuncio:353640,1,False,286.0,95.33,80.24,€€€,1.188,0,233,,sin_declarar,True,False,False
370665,1447144.0,mixto,sin_declarar,True,inactivo,False,estancia_de_32_noches,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,Entire rental unit,6.0,3.0,32.0,False,False,,anuncio:370665,1,False,144.48,24.08,20.27,€,1.188,0,365,Spain - National registration number<br />ESFCNT00000811900012192800000000000000000000000000001,sin_declarar,False,False,False
373667,1447144.0,mixto,sin_declarar,True,inactivo,False,sin_actividad,Ciutat Vella,el Barri Gòtic,Entire home/apt,Entire rental unit,3.0,1.0,1.0,True,False,,anuncio:373667,1,False,354.0,118.0,99.32,€€€,1.188,0,365,Spain - National registration number<br />ESFCTU00000811900005761600000000000000HUTB-076698-539,hutb_no_verificable,True,False,False
384063,1447144.0,mixto,sin_declarar,True,inactivo,False,sin_actividad,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,6.0,3.0,1.0,True,False,,anuncio:384063,1,False,446.0,74.33,62.56,€€,1.188,0,365,Spain - National registration number<br />ESFCTU00000807300019823900000000000000000HUTB-0024220,hutb_no_verificable,True,False,False
384464,674212.0,solo_con_licencia,vivienda_uso_turistico,True,inactivo,False,sin_actividad,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,4.0,1.0,1.0,True,False,HUTB-011183,HUTB-011183,2,False,400.0,100.0,84.17,€€€,1.188,0,302,Barcelona - Regional registration number<br />HUTB-011183<br /><br />Spain - National registration number<br />ESFCTU00000805400050315500000000000000000HUTB-0111834,licencia_verificada,True,False,False
424294,1447144.0,mixto,vivienda_uso_turistico,True,inactivo,False,sin_actividad,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,Entire rental unit,4.0,1.0,2.0,True,False,HUTB-002791,HUTB-002791,2,False,325.5,81.38,68.49,€€,1.188,0,365,Barcelona - Regional registration number<br />HUTB-002791,licencia_verificada,True,False,False
438102,2176121.0,solo_sin_licencia,sin_declarar,False,inactivo,False,no_es_cesion_entera,Eixample,el Fort Pienc,Private room,Private room in rental unit,1.0,,31.0,True,True,,anuncio:438102,1,False,45.51,45.51,38.3,€,1.188,0,175,,sin_declarar,False,False,False
443110,2201772.0,solo_con_licencia,vivienda_uso_turistico,True,inactivo,False,sin_actividad,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,Entire serviced apartment,3.0,2.0,1.0,True,False,HUTB-009761,HUTB-009761,1,False,205.0,68.33,57.51,€€,1.188,0,111,Spain - National registration number<br />ESFCTU00A00806000017771500000000000000000HUTB-0097614<br /><br />Barcelona - Regional registration number<br />HUTB-009761,licencia_verificada,True,False,False
502436,2262273.0,solo_sin_licencia,sin_declarar,True,inactivo,False,estancia_de_32_noches,Ciutat Vella,el Barri Gòtic,Entire home/apt,Entire rental unit,4.0,2.0,32.0,False,False,,anuncio:502436,1,False,72.9,18.23,15.34,€,1.188,0,175,,sin_declarar,False,False,False
504657,1447144.0,mixto,sin_declarar,True,inactivo,False,sin_actividad,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,Entire rental unit,5.0,3.0,1.0,True,False,,anuncio:504657,1,False,262.47,52.49,44.18,€€,1.188,0,364,Spain - National registration number<br />ESFCTU00000805400004868700000000000000000HUTB-0001924,hutb_no_verificable,True,False,False
511739,1447144.0,mixto,sin_declarar,True,inactivo,False,sin_actividad,Eixample,la Sagrada Família,Entire home/apt,Entire rental unit,5.0,2.0,1.0,True,False,,anuncio:511739,1,False,286.0,57.2,48.14,€€,1.188,0,363,Spain - National registration number<br />ESFCTU00000807300023784600000000000000000HUTB-0019231,hutb_no_verificable,True,False,False
512387,1447144.0,mixto,sin_declarar,True,inactivo,False,sin_actividad,Eixample,la Sagrada Família,Entire home/apt,Entire rental unit,5.0,2.0,2.0,True,False,,anuncio:512387,1,False,302.5,60.5,50.92,€€,1.188,0,363,Spain - National registration number<br />ESFCTU00000807300023784600000000000000000HUTB-0019156,hutb_no_verificable,True,False,False
519316,2555877.0,,sin_declarar,True,activo,False,estancia_de_32_noches,Eixample,Sant Antoni,Entire home/apt,Entire rental unit,3.0,2.0,32.0,False,False,,anuncio:519316,1,False,51.59,17.2,14.48,€,1.188,1,37,,sin_declarar,False,False,False
536440,2635405.0,solo_sin_licencia,vivienda_uso_turistico,False,inactivo,False,no_es_cesion_entera,Horta-Guinardó,el Baix Guinardó,Private room,Private room in condo,1.0,,31.0,True,True,HUTB-010944,HUTB-010944,1,False,,,,,1.188,0,0,Barcelona - Regional registration number<br />HUTB-010944,licencia_no_encontrada,False,False,False
546165,2685251.0,sin_anuncios_turisticos,sin_declarar,False,activo,False,no_es_cesion_entera,Sant Martí,el Poblenou,Private room,Private room in guest suite,2.0,,31.0,True,True,Exempt - seasonal rental,anuncio:546165,1,False,,,,,1.188,2,0,Spain - National registration number<br />ESHFNT00000807200081463700100000000000000000000000003<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,False
548052,1447144.0,mixto,sin_declarar,True,inactivo,False,sin_actividad,Eixample,la Sagrada Família,Entire home/apt,Entire rental unit,5.0,2.0,1.0,True,False,,anuncio:548052,1,False,286.0,57.2,48.14,€€,1.188,0,365,Spain - National registration number<br />ESFCTU00000807300023784600000000000000000HUTB-0019224,hutb_no_verificable,True,False,False
548085,1447144.0,mixto,sin_declarar,True,inactivo,False,sin_actividad,Eixample,la Sagrada Família,Entire home/apt,Entire rental unit,3.0,1.0,2.0,True,False,,anuncio:548085,1,False,302.5,100.83,84.87,€€€,1.188,0,365,Spain - National registration number<br />ESFCTU00000807300023784600000000000000000HUTB-0019149,hutb_no_verificable,True,False,False
