id,name,host_id,host_name,calculated_host_listings_count,neighbourhood_group,neighbourhood,latitude,longitude,room_type,property_type,accommodates,bedrooms,beds,minimum_nights,precio_anuncio,precio_por_plaza,availability_365,number_of_reviews,number_of_reviews_ltm,last_review,review_scores_rating,license,price,licencia_regional,categoria_licencia,licencia_norm,prefijo,consta_en_registro,estado_licencia,motivo_estado,last_review_dt,tipo_cesion,factor_temporada,precio_plaza_anual,banda_plaza,tramo_estancia,precio_plaza_recortado,precio_recortado,precio_plaza_estimado,precio_plaza_es_estimado,precio_plaza_final,mae_modelo_eur
18674,Huge flat for 8 people close to Sagrada Familia,71615.0,Maria Y Mireia Barcelona4Seasons,20.0,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,Entire rental unit,8.0,3.0,5.0,1.0,409.0,51.12,123,59,9,2026-05-28,4.41,Spain - National registration number<br />ESFCTU000008058000039706000000000000000HUTB-002062349<br /><br />Barcelona - Regional registration number<br />HUTB-002062,409.0,HUTB-002062,Apartamento turístico (HUTB / TU),HUTB-002062,HUTB,True,con_licencia,consta en el registro oficial,2026-05-28,vivienda entera,1.188,43.03,€€,corta (1-6 noches),51.12,False,,False,51.12,13.49
23197,CCIB Forum· Large Balcony · 5 min walk to CCIB,90417.0,Marnie,1.0,Sant Martí,el Besòs i el Maresme,41.41243172529066,2.219750335269476,Entire home/apt,Entire rental unit,5.0,3.0,4.0,2.0,388.0,77.6,239,99,11,2026-06-07,4.84,Spain - National registration number<br />ESFCTU000008106000547360000000000000000000HUTB0050572<br /><br />Barcelona - Regional registration number<br />HUTB-005057,388.0,HUTB-005057,Apartamento turístico (HUTB / TU),HUTB-005057,HUTB,False,licencia_sin_acreditar,número que no consta en el registro,2026-06-07,vivienda entera,1.188,65.31,€€,corta (1-6 noches),77.6,False,,False,77.6,13.49
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163.0,Andres,2.0,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,Entire rental unit,9.0,4.0,6.0,1.0,397.13,44.13,329,304,37,2026-05-26,4.59,Spain - National registration number<br />ESFCTU000008119000093652000000000000000HUTB-001506712<br /><br />Barcelona - Regional registration number<br />HUTB-150671,397.13,HUTB-150671,Apartamento turístico (HUTB / TU),HUTB-150671,HUTB,False,licencia_sin_acreditar,número por encima del máximo emitido,2026-05-26,vivienda entera,1.188,37.14,€,corta (1-6 noches),44.13,False,,False,44.13,13.49
40983,Architect's Loft near Gaudí & Passeig de Gràcia,177617.0,Joaquin,5.0,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,Entire condo,4.0,1.0,2.0,1.0,226.13,56.53,289,450,56,2026-06-19,4.56,Barcelona - Regional registration number<br />HUTB-001282<br /><br />Spain - National registration number<br />ESFCTU00000805400028019300000000000000000HUTB-0012821,226.13,HUTB-001282,Apartamento turístico (HUTB / TU),HUTB-001282,HUTB,True,con_licencia,consta en el registro oficial,2026-06-19,vivienda entera,1.188,47.58,€€,corta (1-6 noches),56.53,False,,False,56.53,13.49
49968,Sagrada Familia area - Còrsega 2,135703.0,Nick,1.0,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,Entire rental unit,5.0,2.0,,1.0,,,0,147,11,2026-01-02,4.64,Barcelona - Regional registration number<br />HUTB-001723<br /><br />Spain - National registration number<br />ESFCTU00000805800030001100000000000000000HUTB-0017235,,HUTB-001723,Apartamento turístico (HUTB / TU),HUTB-001723,HUTB,True,con_licencia,consta en el registro oficial,2026-01-02,vivienda entera,1.188,45.82,€€,corta (1-6 noches),,False,54.44,True,54.44,13.49
71553,Best deals for penthouse near Sagrada Familia!,366654.0,Watermelon Barcelona Apartments,2.0,Eixample,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,Entire rental unit,2.0,1.0,1.0,2.0,275.5,137.75,167,86,2,2026-06-08,4.25,Barcelona - Regional registration number<br />HUTB-002424<br /><br />Spain - National registration number<br />ESFCTU00000807300018946600000000000000HUTB-002424-083,275.5,HUTB-002424,Apartamento turístico (HUTB / TU),HUTB-002424,HUTB,True,con_licencia,consta en el registro oficial,2026-06-08,vivienda entera,1.188,115.94,€€€,corta (1-6 noches),137.75,False,,False,137.75,13.49
72436,Lugaris Beach Business Apartment,375625.0,Lugaris Apartments Team,6.0,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,Entire serviced apartment,3.0,1.0,2.0,1.0,209.0,69.67,245,1194,210,2026-06-20,4.75,Barcelona - Regional registration number<br />HUTB-000173<br /><br />Spain - National registration number<br />ESFCTU00000807200078128100000000000000000HUTB-0001713,209.0,HUTB-000173,Apartamento turístico (HUTB / TU),HUTB-000173,HUTB,True,con_licencia,consta en el registro oficial,2026-06-20,vivienda entera,1.188,58.64,€€,corta (1-6 noches),69.67,False,,False,69.67,13.49
75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,400154.0,Mireia,10.0,Sant Martí,el Clot,41.40682,2.18649,Entire home/apt,Entire rental unit,3.0,3.0,3.0,3.0,179.67,59.89,105,151,28,2026-06-16,4.55,Spain - National registration number<br />ESFCTU00000807300091781600000000000000000HUTB-0000835<br /><br />Barcelona - Regional registration number<br />HUTB-000083,179.67,HUTB-000083,Apartamento turístico (HUTB / TU),HUTB-000083,HUTB,True,con_licencia,consta en el registro oficial,2026-06-16,vivienda entera,1.188,50.41,€€,corta (1-6 noches),59.89,False,,False,59.89,13.49
80004,Parc Montjuic HUTB-004026 58,431839.0,Xavier,1.0,Sants-Montjuïc,el Poble Sec,41.37371,2.16706,Entire home/apt,Entire rental unit,5.0,3.0,3.0,7.0,156.11,31.22,33,220,18,2026-06-09,4.7,Barcelona - Regional registration number<br />HUTB-004026<br /><br />Spain - National registration number<br />ESFCTU00000806900038622600000000000000HUTB-004026 582,156.11,HUTB-004026,Apartamento turístico (HUTB / TU),HUTB-004026,HUTB,True,con_licencia,consta en el registro oficial,2026-06-09,vivienda entera,1.188,26.28,€,media (7-27),31.22,False,,False,31.22,13.49
89776,Modernist aparment in the heart of the city,3556337.0,Alejandro,89.0,Eixample,la Dreta de l'Eixample,41.39224,2.17806,Entire home/apt,Entire rental unit,3.0,1.0,2.0,2.0,217.0,72.33,279,467,52,2026-06-03,4.79,Barcelona - Regional registration number<br />HUTB-002215<br /><br />Spain - National registration number<br />ESFCTU00000805400030100300000000000000HUTB-002215-959,217.0,HUTB-002215,Apartamento turístico (HUTB / TU),HUTB-002215,HUTB,True,con_licencia,consta en el registro oficial,2026-06-03,vivienda entera,1.188,60.88,€€,corta (1-6 noches),72.33,False,,False,72.33,13.49
