licencia_id,nombre_comercial,tipo,municipio,codi_ine,barrio,categoria,estrellas,tipo_alojamiento,plazas,habitaciones,titular_id,lat,lon,precision,precio_noche_final,banda_precio,precio_plaza,banda_plaza,precio_es_estimado,apoyo_estimacion
ATB-000001,Atenea Calabria,apartament_turistic,Barcelona,080193,la Nova Esquerra de l'Eixample,Sense categoritzar,,apartament_turistic,160.0,80.0,9.0,41.38093723,2.15320424,geocodificada,130.67,€€,65.33,€€,False,observado
ATB-000002,Voramar,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,36.0,18.0,583.0,41.26524821,1.96547021,geocodificada,,,,,,
ATB-000003,Gutenberg,apartament_turistic,Barcelona,080193,el Raval,Sense categoritzar,,apartament_turistic,170.0,85.0,45.0,41.37690275,2.17469336,geocodificada,155.3300018310547,€€,77.67,€€€,True,escaso
ATB-000004,Montserrat,apartament_turistic,Sitges,082704,,Sense categoritzar,,,12.0,6.0,,41.23731673,1.80620226,geocodificada,,,,,,
ATB-000005,Silver,apartament_turistic,Barcelona,080193,la Vila de Gràcia,Sense categoritzar,,apartament_turistic,98.0,49.0,14.0,41.40207972,2.15116101,geocodificada,122.41,€€,61.2,€€,False,observado
ATB-000006,Castellmar,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,22.0,10.0,471.0,41.26620553,1.98046241,geocodificada,,,,,,
ATB-000007,Marfina,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,47.0,22.0,471.0,41.26543376,1.97776906,geocodificada,,,,,,
ATB-000008,Porta Coeli,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,34.0,15.0,471.0,,,,,,,,,
ATB-000009,SENATOR BARCELONA APARTMENTS,apartament_turistic,Barcelona,080193,Sant Gervasi - Galvany,Sense categoritzar,,apartament_turistic,36.0,18.0,71.0,41.39846605,2.14267689,geocodificada,118.22,€€,59.11,€€,False,observado
ATB-000010,Marítim,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,52.0,20.0,327.0,41.26557422,1.9661344,geocodificada,,,,,,
ATB-000012,Velor,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,80.0,32.0,642.0,41.27039993,1.98393141,geocodificada,,,,,,
ATB-000013,Amapola,apartament_turistic,Sitges,082704,,Sense categoritzar,,,48.0,24.0,211.0,41.23452773,1.79676552,geocodificada,,,,,,
ATB-000014,San Jorge,apartament_turistic,Sitges,082704,,Sense categoritzar,,,64.0,26.0,211.0,41.23534069,1.79876808,geocodificada,,,,,,
ATB-000015,Apollo,apartament_turistic,Sitges,082704,,Sense categoritzar,,,60.0,30.0,211.0,41.24161083,1.81120421,geocodificada,,,,,,
ATB-000016,Atlanta,apartament_turistic,Sitges,082704,,Sense categoritzar,,,60.0,30.0,211.0,41.23441841,1.79741733,geocodificada,,,,,,
ATB-000017,Arizona,apartament_turistic,Sitges,082704,,Sense categoritzar,,,48.0,12.0,211.0,41.23723393,1.81005551,geocodificada,,,,,,
ATB-000018,Tara,apartament_turistic,Sitges,082704,,Sense categoritzar,,,30.0,12.0,211.0,41.23499677,1.79824166,geocodificada,,,,,,
ATB-000019,Atenea Park I,apartament_turistic,Vilanova i la Geltrú,083073,,Sense categoritzar,,,76.0,38.0,551.0,41.2138214,1.72104259,geocodificada,,,,,,
ATB-000020,Atenea Park II,apartament_turistic,Vilanova i la Geltrú,083073,,Sense categoritzar,,,80.0,40.0,551.0,41.21425817,1.72110836,geocodificada,,,,,,
ATB-000021,Atenea Park III,apartament_turistic,Vilanova i la Geltrú,083073,,Sense categoritzar,,,46.0,23.0,551.0,41.21619379,1.7248283,geocodificada,,,,,,
ATB-000022,La Falda del Montseny,apartament_turistic,Campins,080399,,Sense categoritzar,,,20.0,10.0,369.0,,,,,,,,,
ATB-000026,Ginosi,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,30.0,15.0,812.0,41.27843543,1.97690012,geocodificada,,,,,,
ATB-000027,Cal Jepa,apartament_turistic,Olèrdola,081458,,Sense categoritzar,,,12.0,5.0,999.0,41.34815147,1.73992497,geocodificada,,,,,,
