modelo,optimizador,MAE_cv_eur,mejores_parametros
XGBoost,RandomizedSearch,40.68,"{'regressor__modelo__subsample': 1.0, 'regressor__modelo__reg_lambda': 5.0, 'regressor__modelo__n_estimators': 300, 'regressor__modelo__max_depth': 2, 'regressor__modelo__learning_rate': 0.02, 'regressor__modelo__colsample_bytree': 1.0}"
XGBoost,Optuna,40.68,"{'regressor__modelo__n_estimators': 300, 'regressor__modelo__learning_rate': 0.02, 'regressor__modelo__max_depth': 2, 'regressor__modelo__subsample': 1.0, 'regressor__modelo__colsample_bytree': 1.0, 'regressor__modelo__reg_lambda': 5.0}"
LightGBM,Optuna,41.28,"{'regressor__modelo__n_estimators': 300, 'regressor__modelo__learning_rate': 0.02, 'regressor__modelo__num_leaves': 7, 'regressor__modelo__min_child_samples': 5, 'regressor__modelo__subsample': 1.0, 'regressor__modelo__reg_lambda': 5.0}"
RandomForest,Optuna,41.41,"{'regressor__modelo__n_estimators': 600, 'regressor__modelo__max_depth': 14, 'regressor__modelo__min_samples_leaf': 4, 'regressor__modelo__max_features': 0.6}"
RandomForest,RandomizedSearch,41.41,"{'regressor__modelo__n_estimators': 600, 'regressor__modelo__min_samples_leaf': 4, 'regressor__modelo__max_features': 0.6, 'regressor__modelo__max_depth': 14}"
GradientBoosting,RandomizedSearch,41.51,"{'regressor__modelo__subsample': 0.7, 'regressor__modelo__n_estimators': 200, 'regressor__modelo__max_depth': 2, 'regressor__modelo__learning_rate': 0.02}"
HistGradientBoosting,Optuna,41.56,"{'regressor__modelo__learning_rate': 0.02, 'regressor__modelo__max_iter': 200, 'regressor__modelo__max_leaf_nodes': 7, 'regressor__modelo__min_samples_leaf': 5, 'regressor__modelo__l2_regularization': 1.0}"
GradientBoosting,Optuna,41.65,"{'regressor__modelo__n_estimators': 400, 'regressor__modelo__learning_rate': 0.02, 'regressor__modelo__max_depth': 2, 'regressor__modelo__subsample': 0.7}"
HistGradientBoosting,RandomizedSearch,41.93,"{'regressor__modelo__min_samples_leaf': 20, 'regressor__modelo__max_leaf_nodes': 7, 'regressor__modelo__max_iter': 200, 'regressor__modelo__learning_rate': 0.02, 'regressor__modelo__l2_regularization': 0.0}"
ExtraTrees,Optuna,42.03,"{'regressor__modelo__n_estimators': 300, 'regressor__modelo__max_depth': 10, 'regressor__modelo__min_samples_leaf': 8, 'regressor__modelo__max_features': 0.6}"
ExtraTrees,RandomizedSearch,42.03,"{'regressor__modelo__n_estimators': 300, 'regressor__modelo__min_samples_leaf': 8, 'regressor__modelo__max_features': 0.6, 'regressor__modelo__max_depth': 10}"
LightGBM,RandomizedSearch,43.05,"{'regressor__modelo__subsample': 0.7, 'regressor__modelo__reg_lambda': 5.0, 'regressor__modelo__num_leaves': 31, 'regressor__modelo__n_estimators': 300, 'regressor__modelo__min_child_samples': 20, 'regressor__modelo__learning_rate': 0.02}"
Ridge,Optuna,45.81,{'regressor__modelo__alpha': 10.0}
Ridge,RandomizedSearch,45.81,{'regressor__modelo__alpha': 10.0}
