corte,segmento,n,precio_mediano,MAE_eur,MAPE_pct,sesgo_eur
tamaño,grande,101,185.7,54.3,22.6,-12.3
tamaño,mediano,168,153.2,36.0,17.9,-9.7
tamaño,muy_pequeno,85,120.6,30.1,25.1,-3.1
tamaño,pequeno,96,140.4,44.3,22.8,-17.2
estrellas,1.0,28,118.9,29.0,29.4,9.5
estrellas,2.0,27,139.7,27.9,20.4,1.3
estrellas,3.0,96,140.5,26.3,16.8,-2.4
estrellas,4.0,118,172.2,49.4,20.3,-22.0
estrellas,4.5,29,212.3,34.6,16.9,-3.4
estrellas,5.0,36,319.5,112.8,22.7,-58.2
estrellas,nan,117,118.2,28.8,25.0,-0.4
tipo,apartament_turistic,8,141.4,41.3,23.8,-12.8
tipo,hotel_estrellas,334,162.5,44.9,20.0,-14.1
tipo,sin_estrellas,109,116.1,27.9,25.1,0.5
distrito,Ciutat Vella,146,145.3,41.8,21.3,-12.2
distrito,Eixample,161,161.0,33.0,19.2,-9.7
distrito,Gràcia,14,131.1,43.5,32.3,5.5
distrito,Horta-Guinardó,10,111.4,24.0,24.3,11.3
distrito,Les Corts,18,190.0,40.4,20.6,-18.3
distrito,Sant Martí,35,168.1,92.2,26.5,-47.9
distrito,Sants-Montjuïc,29,131.9,41.7,23.8,-1.8
distrito,Sarrià-Sant Gervasi,32,127.0,23.7,17.5,8.1
