licencia_id,nombre_comercial,razon_social,tipo,tipo_alojamiento,subtipo,categoria,estrellas,cadena,es_cadena,plazas,habitaciones,codigo_postal,barrio,distrito,nombre_via,numero,lat,lon,origen_coord,distancia_centro_km,precio_noche,precio_noche_anual,factor_temporada,origen_precio,metodo_cruce,puntuacion,duplicado_probable
ATB-000001,Atenea Calabria,"TEXFIL GANDUXER ALUM, SA",apartament_turistic,apartament_turistic,sin_indicio,Sense categoritzar,,Catalonia,True,160.0,80.0,08015,la Nova Esquerra de l'Eixample,Eixample,Calabria,129,41.38093723,2.15320424,icgc_verificada,1.555,154.19,130.67,1.18,rescate,,,False
ATB-000003,Gutenberg,"APARTAMENTOS GUTENBERG, SA",apartament_turistic,apartament_turistic,apartamentos,Sense categoritzar,,Independiente,False,170.0,85.0,08001,el Raval,Ciutat Vella,Gutenberg,7,41.37690275,2.17469336,icgc_verificada,1.189,,,1.18,,,,False
ATB-000005,Silver,"PROYECTOS E INMUEBLES, S. A",apartament_turistic,apartament_turistic,sin_indicio,Sense categoritzar,,Independiente,False,98.0,49.0,08012,la Vila de Gràcia,Gràcia,Breton de los Herreros,26,41.40207972,2.15116101,icgc_verificada,2.298,144.44,122.41,1.18,rescate,,,False
ATB-000009,SENATOR BARCELONA APARTMENTS,APARTHOTEL SENATOR SA,apartament_turistic,apartament_turistic,apartamentos,Sense categoritzar,,Independiente,False,36.0,18.0,08021,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Augusta,167,41.39846605,2.14267689,icgc_verificada,2.612,139.5,118.22,1.18,rescate,,,False
ATB-000042,MASTER LA RAMBLA,ROOMBA RAMBLA SL,apartament_turistic,apartament_turistic,sin_indicio,Sense categoritzar,,Independiente,False,69.0,33.0,08002,el Barri Gòtic,Ciutat Vella,la Rambla,34,41.37886667,2.17584125,icgc_verificada,1.027,299.27,253.62,1.18,rescate,,,False
ATB-000044,Descartes,"INVERSIONES MOB. E INMOBILIARIAS, S.L.",apartament_turistic,apartament_turistic,sin_indicio,Sense categoritzar,,Independiente,False,30.0,15.0,08006,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Descartes,4,41.40038137,2.14306326,icgc_verificada,2.695,,,1.18,,,,False
ATB-000049,Villa Sagrada,"VILLA SAGRADA, SL",apartament_turistic,apartament_turistic,sin_indicio,Sense categoritzar,,Independiente,False,18.0,9.0,08013,la Sagrada Família,Eixample,Vilaret,13,41.40611736,2.18017454,icgc_verificada,2.289,,,1.18,,,,False
ATB-000062,Tibidabo Apartments,"CAD GISPERT, S.L.",apartament_turistic,apartament_turistic,apartamentos,Sense categoritzar,,Independiente,False,14.0,4.0,08035,Sant Genís dels Agudells,Horta-Guinardó,Jericó,20,41.42139829,2.13865956,icgc_verificada,4.633,190.0,161.02,1.18,rescate,,,False
ATB-000083,DV Apartamentos,"DIVUIT, SL",apartament_turistic,apartament_turistic,apartamentos,Sense categoritzar,,Independiente,False,36.0,18.0,08028,Sants - Badal,Sants-Montjuïc,Torns,3,41.37402238,2.12480175,icgc_verificada,4.038,133.81,113.4,1.18,rescate,,,False
ATB-000086,Midtown Apartments,PEROMOINVER SLU,apartament_turistic,apartament_turistic,apartamentos,Sense categoritzar,,Independiente,False,100.0,30.0,08010,la Dreta de l'Eixample,Eixample,Casp,35,41.39122438,2.17300359,icgc_verificada,0.532,283.62,240.35,1.18,rescate,,,False
ATB-000088,Apartamentos Turisticos,PAIMAC Investments SLU,apartament_turistic,apartament_turistic,apartamentos,Sense categoritzar,,Independiente,False,18.0,9.0,08026,el Camp de l'Arpa del Clot,Sant Martí,Antic de Bofarull,11-15,41.41074115,2.18615951,icgc_verificada,2.964,,,1.18,,,,False
ATB-000089,Hostemplo,"HOSTEMPLO, S.L. c/ SICILIA, 280  BARCELONA",apartament_turistic,apartament_turistic,sin_indicio,Sense categoritzar,,Independiente,False,20.0,10.0,08013,la Sagrada Família,Eixample,"Sicilia, 276-280",276-280,41.40086452,2.17460967,icgc_verificada,1.589,,,1.18,,,,False
ATB-000276,MONTURIOL APARTAMENTS,SORT BWOK S.L.,apartament_turistic,apartament_turistic,apartamentos,Sense categoritzar,,Independiente,False,18.0,9.0,08018,el Clot,Sant Martí,de Monturiol,23,41.41002109,2.19243613,icgc_verificada,3.171,179.47,152.09,1.18,rescate,,,False
HB-000002,Suizo,"SUIZO HOTEL, SL",hotel,hotel_estrellas,sin_indicio,3 estrelles,3.0,Independiente,False,99.0,50.0,08002,el Barri Gòtic,Ciutat Vella,Del Ángel,12,41.38381826558655,2.17832017276016,censo,0.779,,,1.149,,,,False
HB-000005,Hostal Abrevadero,"VIDAMA SERVEIS INMOBILIARIS, SL",hotel,sin_estrellas,hostal,No aplica,,Independiente,False,45.0,25.0,08004,el Poble Sec,Sants-Montjuïc,Vila i Vilà,79,41.3741977,2.16847754,icgc_verificada,1.429,,,1.18,,,,False
HB-000006,Hostal Valls,,hotel,sin_estrellas,hostal,No aplica,,Independiente,False,17.0,9.0,08021,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Laforja,82,41.39730878,2.14663789,icgc_verificada,2.261,,,1.18,,,,False
HB-000011,HOTEL FORNOS,SALOMON 1965 HOSPITALITY HOLDING S.L.,hotel,hotel_estrellas,sin_indicio,2 estrelles,2.0,Independiente,False,47.0,29.0,08002,el Barri Gòtic,Ciutat Vella,COLON,2,41.37959188566095,2.1749199534758232,censo,0.92,205.81,174.41,1.18,cruce_inicial,nombre_exacto,3.7,False
HB-000012,Granvía,"Josel, SLU",hotel,hotel_estrellas,sin_indicio,3 estrelles,3.0,Independiente,False,105.0,58.0,08007,la Dreta de l'Eixample,Eixample,Gran Via Corts Catalanes,642,41.39005003654941,2.169525637778747,censo,0.341,258.62,225.06,1.149,cruce_inicial,coordenada,4.6,False
HB-000016,Avenida Palace,"INDUSTRIAL HOTELERA HERGAS, S.L.",hotel,hotel_estrellas,sin_indicio,4 estrelles,4.0,Independiente,False,274.0,150.0,08007,la Dreta de l'Eixample,Eixample,Gran Via Corts Catalanes,605,41.3890669628778,2.167360082559941,censo,0.318,237.93,207.32,1.148,cruce_inicial,coordenada,4.3,False
HB-000017,Astoria,HOTEL ASTORIA S.A.,hotel,hotel_estrellas,sin_indicio,3 estrelles,3.0,Independiente,False,205.0,117.0,08036,l'Antiga Esquerra de l'Eixample,Eixample,París,203,41.39400038288808,2.153522866045725,censo,1.58,155.14,135.01,1.149,cruce_inicial,coordenada,4.4,False
HB-000018,Regina,"REGINA HOTEL, S.A.",hotel,hotel_estrellas,sin_indicio,4 estrelles,4.0,Independiente,False,176.0,99.0,08002,la Dreta de l'Eixample,Eixample,Bergara,2-4,41.38596221474435,2.1679174068507456,censo,0.209,228.93,199.47,1.148,cruce_inicial,coordenada,4.4,False
HB-000019,Hostal París,"HITA Y GUTIERREZ, SCP",hotel,sin_estrellas,hostal,No aplica,,Independiente,False,68.0,41.0,08002,el Barri Gòtic,Ciutat Vella,Cardenal Casañas,4,41.38151775,2.17345019,icgc_verificada,0.674,154.54,130.97,1.18,cruce_inicial,coordenada,3.4,False
HB-000022,Autohogar,"CAFES ESPAÑOL OLIMIPA, S.A.",hotel,hotel_estrellas,sin_indicio,3 estrelles,3.0,Independiente,False,276.0,152.0,08001,el Raval,Ciutat Vella,Paral·lel,64,41.37518687076357,2.169408733101533,censo,1.314,105.26,91.6,1.149,cruce_inicial,coordenada,3.8,False
HB-000023,Regencia Colón,Hotel Colón SA,hotel,hotel_estrellas,sin_indicio,3 estrelles,3.0,Independiente,False,95.0,50.0,08002,el Barri Gòtic,Ciutat Vella,Sagristans,13-17,41.3853321424925,2.175631560214969,censo,0.505,,,1.149,,,,False
HB-000025,Lloret,,hotel,hotel_estrellas,sin_indicio,1 estrella,1.0,Independiente,False,98.0,56.0,08002,el Raval,Ciutat Vella,Rambla,125,41.384856019140464,2.170219188630123,censo,0.239,142.52,120.78,1.18,cruce_inicial,coordenada,4.1,False
HB-000026,Rialto,"RIALTOHOTEL,S.L.",hotel,hotel_estrellas,sin_indicio,3 estrelles,3.0,Independiente,False,370.0,205.0,08002,el Barri Gòtic,Ciutat Vella,Ferran,42,41.38211239514697,2.1764859594212758,censo,0.767,149.37,129.99,1.149,cruce_inicial,coordenada,4.0,False
