local_id,nombre,tipo_local,distrito,barrio,codigo_barrio,calle,numero,direccion,latitud,longitud,fecha_revision,local_identificado
6a8c18de-61f6-44ec-9cc3-1b813a78d03b,NOT THE NAME JUST A COOL SIGN,restaurante,Eixample,la Dreta de l'Eixample,7,MÉNDEZ NÚÑEZ,17,"207803, 17-17, LOC 20",41.390123044,2.177135646,2023-04-04,True
c2ca40e1-5526-45c9-adf6-4ab9e701cf5f,BAR LES MATINADES,bar,Sants-Montjuïc,la Bordeta,16,PTGE ANDALUSIA,6,"700032, 6-8, LOC 10",41.37038883,2.133568525,2023-05-15,True
d1aaae88-f8c7-4576-b6b3-e02f6bffe147,ROLLING PIZZA,comida_rapida,Sants-Montjuïc,Sants - Badal,17,JUAN DE SADA,53,"173202, 53-53, LOC 20",41.378064461,2.127568424,2023-05-09,True
8395faa6-c4e2-465b-9752-2d56b4b9757f,TEMPURA - YA,restaurante,Eixample,l'Antiga Esquerra de l'Eixample,8,MUNTANER,153,"223606, 153-153, LOC 10",41.39095712,2.153481245,2023-04-12,True
ed4ca38d-09ba-437c-9205-b63c195ac566,CAL NINOT,bar,Eixample,l'Antiga Esquerra de l'Eixample,8,CASANOVA,136,"070607, 136-138, LOC 10",41.388684262,2.154621184,2023-04-11,True
bf8b59ac-60b3-480e-9096-969468972066,MAUR MUNTANER,restaurante,Eixample,l'Antiga Esquerra de l'Eixample,8,PROVENÇA,202,"268003, 202-202, LOC 20",41.389659216,2.154957801,2023-04-11,True
5f16c65a-22fa-4eca-aab4-350fa3a2d67b,GALICIA,restaurante,Eixample,la Nova Esquerra de l'Eixample,9,LLANÇA,38,"184402, 38-40, LOC 20",41.379204608,2.146842778,2023-04-21,True
c6fecb80-4ff9-43cd-9db3-3fad76365c52,DELIRI,restaurante,Eixample,l'Antiga Esquerra de l'Eixample,8,CÒRSEGA,242,"090502, 242-242, LOC 10",41.393005543,2.154866606,2023-04-12,True
4644651e-a476-460f-be9b-8799bf6d0679,SIBONEY,bar,Eixample,l'Antiga Esquerra de l'Eixample,8,ARIBAU,70,"023403, 70-70, LOC 40",41.38901126,2.158771902,2023-04-06,True
e0e67cec-5bca-4ff4-807b-9d56a8251c77,EL RACONET DE LES CORTS,restaurante,Les Corts,les Corts,19,JOAN GAMPER,5,"172108, 5-5, LOC 10",41.386796692,2.134256512,2023-06-07,True
ac4498a8-0630-4794-aded-ae6336a2519d,OXID LA TERTULIA,restaurante,Les Corts,les Corts,19,PL CARME,8,"067409, 8-8, LOC 10",41.388710422,2.140011191,2023-06-06,True
c2a1e72b-c4ec-4b4b-97b3-e84d30eb05ac,STARBUCKS,bar,Eixample,la Dreta de l'Eixample,7,RBLA CATALUNYA,122,"074506, 122-122, LOC 20",41.395091125,2.158228755,2023-02-14,True
e9651eba-8816-4244-a4b2-bad827c85e8a,EL 106,restaurante,Eixample,l'Antiga Esquerra de l'Eixample,8,VILLARROEL,106,"363809, 106-106, LOC 10",41.385381985,2.156725377,2023-04-05,True
