barrio,locales,hoy,en_2028,cambio,por_local_hoy,por_local_2028
Baró de Viver,8,0.0,0.0,0.0,0.0,0.0
Can Baró,17,73.6,0.0,-73.6,4.33,0.0
Can Peguera,1,0.0,0.0,0.0,0.0,0.0
Canyelles,17,0.0,0.0,0.0,0.0,0.0
Ciutat Meridiana,18,0.0,0.0,0.0,0.0,0.0
Diagonal Mar i el Front Marítim del Poblenou,108,379.94,998.06,618.11,3.52,9.24
Horta,94,26.2,17.03,-9.17,0.28,0.18
Hostafrancs,130,456.31,690.78,234.48,3.51,5.31
Montbau,15,3.0,0.0,-3.0,0.2,0.0
Navas,89,66.28,85.67,19.4,0.74,0.96
Pedralbes,41,21.43,401.9,380.48,0.52,9.8
Porta,101,13.43,94.41,80.98,0.13,0.93
Provençals del Poblenou,92,134.91,404.11,269.2,1.47,4.39
Sant Andreu,221,74.64,7.53,-67.11,0.34,0.03
Sant Antoni,349,1907.34,511.19,-1396.15,5.47,1.46
Sant Genís dels Agudells,14,6.0,4.5,-1.5,0.43,0.32
Sant Gervasi - Galvany,347,594.61,568.59,-26.02,1.71,1.64
Sant Gervasi - la Bonanova,128,155.67,168.24,12.57,1.22,1.31
Sant Martí de Provençals,95,52.52,0.0,-52.52,0.55,0.0
"Sant Pere, Santa Caterina i la Ribera",315,1089.74,1140.3,50.56,3.46,3.62
Sants,247,575.45,485.57,-89.88,2.33,1.97
Sants - Badal,86,235.04,49.2,-185.84,2.73,0.57
Sarrià,69,50.44,102.58,52.14,0.73,1.49
Torre Baró,3,0.0,0.0,0.0,0.0,0.0
Vallbona,2,0.0,0.0,0.0,0.0,0.0
Vallcarca i els Penitents,32,170.26,108.85,-61.41,5.32,3.4
"Vallvidrera, el Tibidabo i les Planes",8,19.0,44.99,25.99,2.38,5.62
Verdun,51,10.2,0.0,-10.2,0.2,0.0
Vilapicina i la Torre Llobeta,124,43.96,11.75,-32.21,0.35,0.09
el Baix Guinardó,89,149.41,90.2,-59.21,1.68,1.01
el Barri Gòtic,327,1267.72,2330.24,1062.52,3.88,7.13
el Besòs i el Maresme,82,149.82,451.3,301.47,1.83,5.5
el Bon Pastor,96,8.0,57.84,49.84,0.08,0.6
el Camp d'en Grassot i Gràcia Nova,117,551.93,125.6,-426.34,4.72,1.07
el Camp de l'Arpa del Clot,175,572.3,228.11,-344.19,3.27,1.3
el Carmel,78,110.93,0.0,-110.93,1.42,0.0
el Clot,128,85.27,130.69,45.42,0.67,1.02
el Coll,6,38.87,0.0,-38.87,6.48,0.0
el Congrés i els Indians,80,56.52,15.97,-40.55,0.71,0.2
el Fort Pienc,181,1119.44,421.23,-698.21,6.18,2.33
el Guinardó,106,153.23,88.44,-64.78,1.45,0.83
el Parc i la Llacuna del Poblenou,151,348.57,1227.16,878.59,2.31,8.13
el Poble Sec,238,1479.32,797.93,-681.39,6.22,3.35
el Poblenou,268,897.8,1158.07,260.27,3.35,4.32
el Putxet i el Farró,114,383.07,223.94,-159.13,3.36,1.96
el Raval,410,1432.23,2686.97,1254.74,3.49,6.55
el Turó de la Peira,53,8.06,0.0,-8.06,0.15,0.0
l'Antiga Esquerra de l'Eixample,635,2172.05,1465.47,-706.58,3.42,2.31
la Barceloneta,177,346.57,639.68,293.1,1.96,3.61
la Bordeta,60,89.18,24.27,-64.91,1.49,0.4
la Clota,1,0.0,0.0,0.0,0.0,0.0
la Dreta de l'Eixample,702,5311.8,5008.01,-303.8,7.57,7.13
la Font d'en Fargues,11,6.19,0.0,-6.19,0.56,0.0
la Font de la Guatlla,29,135.51,81.15,-54.36,4.67,2.8
la Guineueta,50,4.46,0.0,-4.46,0.09,0.0
la Marina de Port,103,19.82,131.1,111.28,0.19,1.27
la Marina del Prat Vermell,11,3.0,61.05,58.05,0.27,5.55
la Maternitat i Sant Ramon,101,160.7,530.66,369.96,1.59,5.25
la Nova Esquerra de l'Eixample,373,1462.29,959.27,-503.03,3.92,2.57
la Prosperitat,123,2.16,0.0,-2.16,0.02,0.0
la Sagrada Família,353,2336.21,198.79,-2137.42,6.62,0.56
la Sagrera,94,42.98,13.5,-29.49,0.46,0.14
la Salut,42,98.98,16.39,-82.59,2.36,0.39
la Teixonera,24,18.94,0.0,-18.94,0.79,0.0
la Trinitat Nova,12,0.0,0.0,0.0,0.0,0.0
la Trinitat Vella,28,2.0,0.0,-2.0,0.07,0.0
la Vall d'Hebron,12,4.0,100.25,96.25,0.33,8.35
la Verneda i la Pau,110,21.55,0.0,-21.55,0.2,0.0
la Vila Olímpica del Poblenou,74,377.71,411.65,33.93,5.1,5.56
la Vila de Gràcia,437,1888.9,369.3,-1519.6,4.32,0.85
les Corts,308,507.62,987.41,479.79,1.65,3.21
les Roquetes,44,12.0,0.0,-12.0,0.27,0.0
les Tres Torres,44,69.89,83.06,13.17,1.59,1.89
