barrio,escenario,w,plazas_que_salen,plazas_que_llegan,plazas_sin_sitio,plazas_que_se_quedan,km_mediano,sobrecoste_mediano,saldo
Can Baró,solo_precio,0.0,80.0,0.0,16.0,0.0,3.73,86.38,-80.0
Diagonal Mar i el Front Marítim del Poblenou,solo_precio,0.0,385.0,1330.29,20.0,24.71,4.23,0.12,945.29
Horta,solo_precio,0.0,23.0,17.03,3.0,0.0,5.25,171.99,-5.97
Hostafrancs,solo_precio,0.0,373.0,857.94,18.0,13.0,2.58,32.56,484.94
Montbau,solo_precio,0.0,3.0,0.0,3.0,0.0,,,-3.0
Navas,solo_precio,0.0,50.0,93.83,6.0,0.0,3.96,47.87,43.83
Pedralbes,solo_precio,0.0,19.0,111.5,0.0,0.0,4.09,14.18,92.5
Porta,solo_precio,0.0,12.0,101.54,5.0,0.0,4.3,-0.94,89.54
Provençals del Poblenou,solo_precio,0.0,150.0,371.45,36.0,3.0,3.56,0.08,221.45
Sant Andreu,solo_precio,0.0,73.0,6.11,26.0,0.0,5.8,22.93,-66.89
Sant Antoni,solo_precio,0.0,2048.0,450.5,199.0,27.52,1.74,18.74,-1597.5
Sant Genís dels Agudells,solo_precio,0.0,6.0,4.5,6.0,0.0,,,-1.5
Sant Gervasi - Galvany,solo_precio,0.0,578.0,660.97,61.0,17.25,2.47,12.73,82.97
Sant Gervasi - la Bonanova,solo_precio,0.0,148.0,192.47,16.0,0.0,3.36,49.26,44.47
Sant Martí de Provençals,solo_precio,0.0,53.0,0.0,5.0,0.0,1.78,109.52,-53.0
"Sant Pere, Santa Caterina i la Ribera",solo_precio,0.0,1142.0,925.42,218.8,26.51,1.74,18.29,-216.58
Sants,solo_precio,0.0,562.0,499.66,62.0,5.0,3.31,47.01,-62.34
Sants - Badal,solo_precio,0.0,235.0,48.52,65.0,0.0,3.97,61.83,-186.48
Sarrià,solo_precio,0.0,53.0,114.71,13.0,0.0,4.33,38.24,61.71
Vallcarca i els Penitents,solo_precio,0.0,149.0,35.99,53.0,0.0,4.22,81.36,-113.01
"Vallvidrera, el Tibidabo i les Planes",solo_precio,0.0,19.0,44.99,10.0,0.0,7.22,28.45,25.99
Verdun,solo_precio,0.0,12.0,0.0,4.0,0.0,6.62,149.72,-12.0
Vilapicina i la Torre Llobeta,solo_precio,0.0,34.0,6.43,18.0,0.0,4.46,36.89,-27.57
el Baix Guinardó,solo_precio,0.0,144.0,118.57,10.0,0.0,3.0,16.72,-25.43
el Barri Gòtic,solo_precio,0.0,1215.0,2607.55,197.0,88.55,1.77,0.3,1392.55
el Besòs i el Maresme,solo_precio,0.0,155.0,168.37,21.0,0.0,5.2,24.65,13.37
el Bon Pastor,solo_precio,0.0,8.0,57.84,0.0,0.0,5.4,171.67,49.84
el Camp d'en Grassot i Gràcia Nova,solo_precio,0.0,566.0,141.06,49.0,0.0,2.65,29.99,-424.94
el Camp de l'Arpa del Clot,solo_precio,0.0,540.0,312.97,30.0,0.0,3.13,34.68,-227.03
el Carmel,solo_precio,0.0,103.0,0.0,23.0,0.0,3.89,52.92,-103.0
el Clot,solo_precio,0.0,76.0,5.78,12.0,0.0,2.78,36.85,-70.22
el Coll,solo_precio,0.0,60.0,81.62,8.0,0.0,4.46,75.95,21.62
el Congrés i els Indians,solo_precio,0.0,52.0,0.0,24.0,0.0,4.58,65.46,-52.0
el Fort Pienc,solo_precio,0.0,1188.0,419.97,102.0,31.0,2.02,18.47,-768.03
el Guinardó,solo_precio,0.0,190.0,141.7,22.0,0.0,3.89,35.8,-48.3
el Parc i la Llacuna del Poblenou,solo_precio,0.0,370.0,1350.21,2.0,15.5,2.41,0.09,980.21
el Poble Sec,solo_precio,0.0,1638.0,823.88,169.0,39.92,2.26,39.12,-814.12
el Poblenou,solo_precio,0.0,868.0,1084.15,56.0,23.0,3.44,16.16,216.15
el Putxet i el Farró,solo_precio,0.0,374.0,231.35,50.0,5.0,2.99,29.01,-142.65
el Raval,solo_precio,0.0,1269.0,2851.76,270.0,82.51,1.9,42.36,1582.76
el Turó de la Peira,solo_precio,0.0,4.0,0.0,2.0,0.0,6.58,-0.11,-4.0
l'Antiga Esquerra de l'Eixample,solo_precio,0.0,2001.0,1334.78,137.0,58.6,1.73,18.39,-666.22
la Barceloneta,solo_precio,0.0,342.0,804.28,70.0,10.0,2.49,0.16,462.28
la Bordeta,solo_precio,0.0,107.0,12.53,7.0,0.0,3.43,47.74,-94.47
la Dreta de l'Eixample,solo_precio,0.0,5276.0,4888.32,267.0,791.21,1.7,0.06,-387.68
la Font d'en Fargues,solo_precio,0.0,19.0,0.0,0.0,0.0,3.97,-0.01,-19.0
la Font de la Guatlla,solo_precio,0.0,166.0,170.3,11.0,0.0,3.06,46.02,4.3
la Guineueta,solo_precio,0.0,6.0,0.0,4.0,0.0,6.5,23.18,-6.0
la Marina de Port,solo_precio,0.0,22.0,131.1,10.0,0.0,3.91,-0.05,109.1
la Marina del Prat Vermell,solo_precio,0.0,3.0,61.05,0.0,0.0,4.0,0.0,58.05
la Maternitat i Sant Ramon,solo_precio,0.0,168.0,812.31,28.0,11.0,4.43,34.14,644.31
la Nova Esquerra de l'Eixample,solo_precio,0.0,1457.0,696.63,185.0,35.62,2.07,35.92,-760.37
la Sagrada Família,solo_precio,0.0,2347.0,192.47,130.0,11.93,2.5,23.24,-2154.53
la Sagrera,solo_precio,0.0,51.0,13.5,7.0,0.0,3.94,95.35,-37.5
la Salut,solo_precio,0.0,94.0,18.64,29.0,0.0,3.21,51.18,-75.36
la Teixonera,solo_precio,0.0,18.0,0.0,13.0,0.0,3.98,71.75,-18.0
la Trinitat Vella,solo_precio,0.0,2.0,0.0,0.0,0.0,5.44,376.72,-2.0
la Vall d'Hebron,solo_precio,0.0,4.0,100.25,0.0,0.0,6.7,41.41,96.25
la Verneda i la Pau,solo_precio,0.0,22.0,0.0,2.0,0.0,2.43,106.04,-22.0
la Vila Olímpica del Poblenou,solo_precio,0.0,346.0,237.14,16.0,4.0,2.6,0.01,-108.86
la Vila de Gràcia,solo_precio,0.0,1991.0,237.14,83.0,24.7,2.42,21.97,-1753.86
les Corts,solo_precio,0.0,512.0,1038.84,51.0,9.0,3.14,45.73,526.84
les Roquetes,solo_precio,0.0,12.0,0.0,4.0,0.0,5.56,266.02,-12.0
les Tres Torres,solo_precio,0.0,74.0,72.3,10.0,0.0,3.52,6.14,-1.7
Can Baró,sobre_todo_precio,0.25,80.0,0.0,16.0,0.0,2.68,71.27,-80.0
Diagonal Mar i el Front Marítim del Poblenou,sobre_todo_precio,0.25,385.0,1330.29,20.0,221.55,0.63,24.7,945.29
Horta,sobre_todo_precio,0.25,23.0,17.03,3.0,4.0,3.85,171.99,-5.97
Hostafrancs,sobre_todo_precio,0.25,373.0,857.94,18.0,168.82,0.41,28.11,484.94
Montbau,sobre_todo_precio,0.25,3.0,0.0,3.0,0.0,,,-3.0
Navas,sobre_todo_precio,0.25,50.0,93.83,6.0,0.0,2.16,55.67,43.83
Pedralbes,sobre_todo_precio,0.25,19.0,111.5,0.0,8.0,0.85,16.81,92.5
Porta,sobre_todo_precio,0.25,12.0,101.54,5.0,0.0,2.09,26.63,89.54
