escenario,origen,destino,turistas,km_mediano
solo_precio,Diagonal Mar i el Front Marítim del Poblenou,el Barri Gòtic,49.5,4.09
solo_precio,Diagonal Mar i el Front Marítim del Poblenou,el Raval,23.14,4.2
solo_precio,Diagonal Mar i el Front Marítim del Poblenou,l'Antiga Esquerra de l'Eixample,34.0,4.97
solo_precio,Diagonal Mar i el Front Marítim del Poblenou,la Dreta de l'Eixample,100.83,4.12
solo_precio,Hostafrancs,el Fort Pienc,20.0,3.96
solo_precio,Hostafrancs,el Poblenou,27.0,5.51
solo_precio,Hostafrancs,el Raval,41.0,2.32
solo_precio,Hostafrancs,la Dreta de l'Eixample,56.38,2.69
solo_precio,Hostafrancs,les Corts,40.91,1.28
solo_precio,Provençals del Poblenou,la Dreta de l'Eixample,45.64,3.56
solo_precio,Sant Antoni,Diagonal Mar i el Front Marítim del Poblenou,51.98,5.53
solo_precio,Sant Antoni,Hostafrancs,53.0,1.36
solo_precio,Sant Antoni,Sant Gervasi - Galvany,68.19,2.16
solo_precio,Sant Antoni,"Sant Pere, Santa Caterina i la Ribera",65.79,1.97
solo_precio,Sant Antoni,Sants,34.35,1.7
solo_precio,Sant Antoni,el Barri Gòtic,157.53,1.39
solo_precio,Sant Antoni,el Besòs i el Maresme,27.0,5.94
solo_precio,Sant Antoni,el Camp de l'Arpa del Clot,26.93,3.87
solo_precio,Sant Antoni,el Fort Pienc,25.74,2.53
solo_precio,Sant Antoni,el Parc i la Llacuna del Poblenou,90.42,3.26
solo_precio,Sant Antoni,el Poble Sec,83.65,1.03
solo_precio,Sant Antoni,el Poblenou,105.57,4.22
solo_precio,Sant Antoni,el Raval,156.19,0.95
solo_precio,Sant Antoni,l'Antiga Esquerra de l'Eixample,99.72,1.41
solo_precio,Sant Antoni,la Barceloneta,66.0,2.98
solo_precio,Sant Antoni,la Dreta de l'Eixample,347.46,1.48
solo_precio,Sant Antoni,la Maternitat i Sant Ramon,47.0,3.36
solo_precio,Sant Antoni,la Nova Esquerra de l'Eixample,31.77,1.08
solo_precio,Sant Antoni,la Sagrada Família,31.42,2.83
solo_precio,Sant Antoni,la Vila Olímpica del Poblenou,26.0,2.97
solo_precio,Sant Antoni,les Corts,83.74,1.99
solo_precio,Sant Gervasi - Galvany,el Barri Gòtic,36.66,3.07
solo_precio,Sant Gervasi - Galvany,el Parc i la Llacuna del Poblenou,50.75,3.88
solo_precio,Sant Gervasi - Galvany,el Raval,54.55,2.7
solo_precio,Sant Gervasi - Galvany,la Barceloneta,26.0,4.48
solo_precio,Sant Gervasi - Galvany,la Dreta de l'Eixample,134.4,1.93
solo_precio,Sant Gervasi - la Bonanova,la Dreta de l'Eixample,23.0,3.19
solo_precio,"Sant Pere, Santa Caterina i la Ribera",Diagonal Mar i el Front Marítim del Poblenou,60.49,4.02
solo_precio,"Sant Pere, Santa Caterina i la Ribera",Sant Antoni,20.18,1.59
solo_precio,"Sant Pere, Santa Caterina i la Ribera",Sant Gervasi - Galvany,28.63,2.84
solo_precio,"Sant Pere, Santa Caterina i la Ribera",Sants,26.0,3.41
solo_precio,"Sant Pere, Santa Caterina i la Ribera",el Barri Gòtic,116.86,0.68
solo_precio,"Sant Pere, Santa Caterina i la Ribera",el Fort Pienc,26.0,1.72
solo_precio,"Sant Pere, Santa Caterina i la Ribera",el Parc i la Llacuna del Poblenou,46.0,2.05
solo_precio,"Sant Pere, Santa Caterina i la Ribera",el Poble Sec,27.6,1.84
solo_precio,"Sant Pere, Santa Caterina i la Ribera",el Poblenou,34.32,2.44
solo_precio,"Sant Pere, Santa Caterina i la Ribera",el Raval,83.11,1.14
solo_precio,"Sant Pere, Santa Caterina i la Ribera",l'Antiga Esquerra de l'Eixample,61.05,1.87
solo_precio,"Sant Pere, Santa Caterina i la Ribera",la Barceloneta,43.0,1.8
solo_precio,"Sant Pere, Santa Caterina i la Ribera",la Dreta de l'Eixample,146.25,1.27
solo_precio,"Sant Pere, Santa Caterina i la Ribera",la Maternitat i Sant Ramon,28.0,4.8
solo_precio,"Sant Pere, Santa Caterina i la Ribera",les Corts,42.37,3.49
solo_precio,Sants,Diagonal Mar i el Front Marítim del Poblenou,33.04,7.6
solo_precio,Sants,"Sant Pere, Santa Caterina i la Ribera",33.66,3.85
solo_precio,Sants,el Barri Gòtic,43.54,3.36
solo_precio,Sants,el Coll,26.2,4.56
