categoria_oficial,fecha,anyo,mes,adr
1 and 2 gold stars and silver stars,2013-01-01,2013,1,51.36
1 and 2 gold stars and silver stars,2013-02-01,2013,2,55.4
1 and 2 gold stars and silver stars,2013-03-01,2013,3,56.31
1 and 2 gold stars and silver stars,2013-04-01,2013,4,64.22
1 and 2 gold stars and silver stars,2013-05-01,2013,5,69.69
1 and 2 gold stars and silver stars,2013-06-01,2013,6,67.98
1 and 2 gold stars and silver stars,2013-07-01,2013,7,66.17
1 and 2 gold stars and silver stars,2013-08-01,2013,8,65.54
1 and 2 gold stars and silver stars,2013-09-01,2013,9,70.91
1 and 2 gold stars and silver stars,2013-10-01,2013,10,68.13
1 and 2 gold stars and silver stars,2013-11-01,2013,11,54.91
1 and 2 gold stars and silver stars,2013-12-01,2013,12,52.46
1 and 2 gold stars and silver stars,2014-01-01,2014,1,51.94
1 and 2 gold stars and silver stars,2014-02-01,2014,2,63.42
1 and 2 gold stars and silver stars,2014-03-01,2014,3,59.25
1 and 2 gold stars and silver stars,2014-04-01,2014,4,68.18
1 and 2 gold stars and silver stars,2014-05-01,2014,5,70.53
1 and 2 gold stars and silver stars,2014-06-01,2014,6,69.34
1 and 2 gold stars and silver stars,2014-07-01,2014,7,68.92
1 and 2 gold stars and silver stars,2014-08-01,2014,8,72.27
1 and 2 gold stars and silver stars,2014-09-01,2014,9,70.18
1 and 2 gold stars and silver stars,2014-10-01,2014,10,68.41
1 and 2 gold stars and silver stars,2014-11-01,2014,11,56.95
1 and 2 gold stars and silver stars,2014-12-01,2014,12,57.28
1 and 2 gold stars and silver stars,2015-01-01,2015,1,49.17
1 and 2 gold stars and silver stars,2015-02-01,2015,2,50.77
1 and 2 gold stars and silver stars,2015-03-01,2015,3,81.28
1 and 2 gold stars and silver stars,2015-04-01,2015,4,73.76
1 and 2 gold stars and silver stars,2015-05-01,2015,5,77.08
1 and 2 gold stars and silver stars,2015-06-01,2015,6,75.86
1 and 2 gold stars and silver stars,2015-07-01,2015,7,77.37
1 and 2 gold stars and silver stars,2015-08-01,2015,8,81.03
1 and 2 gold stars and silver stars,2015-09-01,2015,9,80.2
1 and 2 gold stars and silver stars,2015-10-01,2015,10,77.03
1 and 2 gold stars and silver stars,2015-11-01,2015,11,59.51
1 and 2 gold stars and silver stars,2015-12-01,2015,12,57.11
1 and 2 gold stars and silver stars,2016-01-01,2016,1,52.57
1 and 2 gold stars and silver stars,2016-02-01,2016,2,72.27
1 and 2 gold stars and silver stars,2016-03-01,2016,3,62.19
1 and 2 gold stars and silver stars,2016-04-01,2016,4,76.68
1 and 2 gold stars and silver stars,2016-05-01,2016,5,78.79
1 and 2 gold stars and silver stars,2016-06-01,2016,6,79.67
1 and 2 gold stars and silver stars,2016-07-01,2016,7,80.99
