licencia_id,nombre_comercial,q
HB-000005,Hostal Abrevadero,"Hostal Abrevadero, Carrer Vila i Vilà 79, Barcelona"
HB-000006,Hostal Valls,"Hostal Valls, Carrer Laforja 82, Barcelona"
HB-000033,Hostal Operaramblas,"Hostal Operaramblas, Carrer Sant Pau 20, Barcelona"
HB-000034,Inglés,"Hotel Inglés, Carrer Boqueria 17, Barcelona"
HB-000035,INTERNACIONAL RAMBLAS ATIRAM HOTEL,"INTERNACIONAL RAMBLAS ATIRAM HOTEL, Carrer la Rambla 78, Barcelona"
HB-000043,Montecarlo,"Hotel Montecarlo, Carrer Rambla 124, Barcelona"
HB-000050,Comercio,"Hotel Comercio, Carrer Escudellers 15, Barcelona"
HB-000085,Principal,"Hotel Principal, Carrer Junta del Comerç 8-12, Barcelona"
HB-000090,Layetana,"Hotel Layetana, Plaça Ramon Berenguer el Gran 2, Barcelona"
HB-000094,Hostal Residencia Europa,"Hostal Residencia Europa, Carrer Boqueria 18, Barcelona"
HB-000097,Residencia 45,"Residencia 45, Carrer Tallers 45, Barcelona"
HB-000114,Prisma,"Hotel Prisma, Avinguda Josep Tarradellas 119-121, Barcelona"
HB-000320,Goya,"Hotel Goya, Carrer Pau Claris 74, Barcelona"
HB-000362,Lima,"Hotel Lima, Carrer Fontanella 16, Barcelona"
HB-000372,Eurostars Cristal Palace,"Hotel Eurostars Cristal Palace, Carrer Diputació 257, Barcelona"
HB-000386,Zènit Barcelona,"Hotel Zènit Barcelona, Carrer Santaló 8, Barcelona"
HB-000443,Lourdes,"Hotel Lourdes, Carrer Princesa 14, Barcelona"
HB-000454,Barcelona Center Inn,"Hotel Barcelona Center Inn, Carrer Gran Via Corts Catalanes 688, Barcelona"
HB-000478,Turisol,"Hotel Turisol, Passatge Escudellers 7, Barcelona"
HB-000488,Sense especificar,"Hotel Sense especificar, Carrer Pelai 62, Barcelona"
HB-000491,Bienestar,"Hotel Bienestar, Carrer Quintana 3, Barcelona"
HB-000701,GAT RAVAL,"Hotel GAT RAVAL, Carrer de Joaquín Costa 44, Barcelona"
HB-000776,Boutique Barcelona,"Hotel Boutique Barcelona, Carrer Pau Claris 145, Barcelona"
HB-000855,Amílcar,"Hotel Amílcar, Carrer Amílcar 118-116, Barcelona"
HB-000952,Girona,"Hotel Girona, Carrer Girona 24, Barcelona"
HB-000957,VAGANTO HOTEL S.L.,"VAGANTO HOTEL S.L., Carrer d'en Fontrodona 1, Barcelona"
HB-001130,Hostal Razio Central Station BCN,"Hostal Razio Central Station BCN, Carrer Hospital 93, Barcelona"
HB-001131,Albi,"Hotel Albi, Carrer Avinyó 58, Barcelona"
HB-001135,Bresus,"Hotel Bresus, Carrer Sant Pere més Alt 61, Barcelona"
HB-001137,Canaletas,"Hotel Canaletas, Carrer Rambla 133, Barcelona"
HB-001619,Noya,"Hotel Noya, Carrer Rambla 133, Barcelona"
HB-001620,Ciudadela,"Hotel Ciudadela, Carrer Comerç 33, Barcelona"
HB-001690,El Puchi Barcelona,"Hotel El Puchi Barcelona, Carrer Gran Via Corts Catalanes 576, Barcelona"
HB-001705,Venècia,"Hotel Venècia, Carrer Junta del Comerç 13, Barcelona"
HB-001847,Santo Domingo,"Hotel Santo Domingo, Carrer Sant Domènec del Call 3-5, Barcelona"
HB-001855,HOTEL LA PAU,"HOTEL LA PAU, Carrer JOSEP ANSELM CLAVÉ 17, Barcelona"
HB-001862,Las Flores,"Hotel Las Flores, Carrer Rambla 79, Barcelona"
HB-001951,Chic  Basic Tallers,"Hotel Chic  Basic Tallers, Carrer Tallers 82, Barcelona"
HB-002211,Hosteria Grau,"Hotel Hosteria Grau, Carrer Ramelleres 27, Barcelona"
HB-002223,Triunfo,"Hotel Triunfo, Passeig Picasso 22, Barcelona"
HB-002253,Aneto,"Hotel Aneto, Carrer Carme 38, Barcelona"
HB-002532,Turín,"Hotel Turín, Carrer Pintor Fortuny 9, Barcelona"
HB-002600,Lleida,"Hotel Lleida, Carrer Còrsega 201, Barcelona"
HB-002608,Alberdi,"Hotel Alberdi, Carrer Torrent de l' Olla 95, Barcelona"
HB-002721,Hostal Hill,"Hostal Hill, Carrer Provença 323, Barcelona"
HB-002835,Laforja,"Hotel Laforja, Carrer Laforja 63, Barcelona"
HB-002851,RIO DE CASTRO,"Hotel RIO DE CASTRO, Avinguda del Paral·lel 119, Barcelona"
HB-002875,Aris,"Hotel Aris, Carrer Fontanella 14, Barcelona"
HB-002895,Elkano,"Hotel Elkano, Carrer Elkano 78, Barcelona"
HB-002907,Hostal Conde Guell,"Hostal Conde Guell, Carrer Comte de Güell 32, Barcelona"
HB-002927,HOTEL BRICK (antigo Hotel Climent),"HOTEL BRICK (antigo Hotel Climent), Gran Via de les Corts Catalanes 304, Barcelona"
HB-003250,Mari Luz Eva,"Hotel Mari Luz Eva, Carrer Palau 4, Barcelona"
HB-003292,Hostal Drassanes,"Hostal Drassanes, Carrer Ample 7, Barcelona"
HB-003336,Hostal River,"Hostal River, Carrer Sant Pau 15, Barcelona"
HB-003356,Sant Antoni Hostal - Sustainable tourism,"Sant Antoni Hostal - Sustainable tourism, Carrer de Villarroel 47, Barcelona"
HB-003376,Portbou,"Hotel Portbou, Carrer Comerç 29, Barcelona"
HB-003443,Coronado,"Hotel Coronado, Carrer Nou de la Rambla 134, Barcelona"
HB-003487,HOTEL SOFIA,"HOTEL SOFIA, Plaça de Pius XII 4, Barcelona"
HB-003673,Bèjar,"Hotel Bèjar, Carrer Béjar 36-38, Barcelona"
HB-003693,San Ramón,"Hotel San Ramón, Carrer Sant Ramon 15, Barcelona"
HB-003766,Madrazo,"Hotel Madrazo, Carrer Madrazo 103, Barcelona"
HB-003777,Limehome,"Hotel Limehome, Carrer de Fontcoberta 4, Barcelona"
HB-003800,Barcelona City Seven,"Hotel Barcelona City Seven, Carrer Aribau 233-235, Barcelona"
HB-003846,Catalonia Plaça Catalunya,"Hotel Catalonia Plaça Catalunya, Carrer Bergara 11, Barcelona"
HB-003859,Best Western Alfa Aeropuerto,"Hotel Best Western Alfa Aeropuerto, Lloc Franca-carrer K s/n, Barcelona"
HB-003872,Bèjar 2,"Hotel Bèjar 2, Carrer Bèjar 37, Barcelona"
HB-003875,LA FRANÇA TRAVELLERS,"Hotel LA FRANÇA TRAVELLERS, Carrer de la França Xica 40, Barcelona"
HB-003896,Guitart Grand Passage,"Hotel Guitart Grand Passage, Carrer Muntaner 212, Barcelona"
HB-003914,Atlantis,"Hotel Atlantis, Carrer Pelai 20, Barcelona"
HB-003916,Gran Hotel Havana,"Gran Hotel Havana, Gran Via de les Corts Catalanes 647, Barcelona"
HB-003918,Catalonia Diagonal Centro,"Hotel Catalonia Diagonal Centro, Carrer Balmes 142-146, Barcelona"
HB-003924,Delfos,"Hotel Delfos, Ronda Sant Antoni 61, Barcelona"
HB-003944,Azul,"Hotel Azul, Carrer Gran Via Corts Catalanes 327, Barcelona"
HB-003947,NH Sant'Angelo,"Hotel NH Sant'Angelo, Carrer Consell de Cent 74, Barcelona"
HB-003974,Iznajar,"Hotel Iznajar, Carrer Carme 38, Barcelona"
HB-003988,Barcelona Apolo Affiliated by Melia,"Hotel Barcelona Apolo Affiliated by Melia, Avinguda Paral·lel 57-59, Barcelona"
HB-004002,Caledonian,"Hotel Caledonian, Carrer Gran Via Corts Catalanes 574, Barcelona"
HB-004025,ANGLI-78,"Hotel ANGLI-78, Carrer d' Anglí 74-78, Barcelona"
HB-004028,Lazza,"Hotel Lazza, Carrer Indústria 81, Barcelona"
HB-004038,Comte,"Hotel Comte, Carrer Diputació 142, Barcelona"
HB-004050,Acta Splendid,"Hotel Acta Splendid, Carrer Muntaner 2, Barcelona"
HB-004071,Viladomat,"Hotel Viladomat, Carrer Viladomat 197, Barcelona"
HB-004074,Guillermo Tell,"Hotel Guillermo Tell, Carrer Guillem Tell 49, Barcelona"
HB-004075,LIHSA HOTELES SA,"LIHSA HOTELES SA, Carrer de Calatrava 32, Barcelona"
HB-004077,Brustar Sant Pau Aristol,"Hotel Brustar Sant Pau Aristol, Carrer Cartagena 369, Barcelona"
HB-004083,Petit,"Hotel Petit, Carrer Laforja 67, Barcelona"
HB-004090,Sense especificar,"Hotel Sense especificar, Carrer de Cabanes 34, Barcelona"
HB-004092,Goya Principal,"Hotel Goya Principal, Carrer Pau Claris 74, Barcelona"
HB-004101,HOTEL EXE LAIETANA PALACE,"HOTEL EXE LAIETANA PALACE, Via Laietana 17, Barcelona"
HB-004104,Que Tal,"Hotel Que Tal, Carrer Mallorca 290, Barcelona"
HB-004121,Banys Orientals,"Hotel Banys Orientals, Carrer Argenteria 37, Barcelona"
HB-004126,Girona,"Hotel Girona, Carrer Girona 24, Barcelona"
HB-004128,STANDBYME RAMBLAS,"Hotel STANDBYME RAMBLAS, Carrer rambla 100, Barcelona"
HB-004150,HOSTAL SOFIA2,"HOSTAL SOFIA2, Avinguda de Roma 1, Barcelona"
HB-004189,ACEVI VILLARROEL,"Hotel ACEVI VILLARROEL, Carrer villarroel 106, Barcelona"
HB-004192,Hostal Centro 2,"Hostal Centro 2, Carrer Balmes 83, Barcelona"
HB-004194,Sansi Diputació,"Hotel Sansi Diputació, Carrer Diputació 234-236, Barcelona"
HB-004195,Rafael Diagonal Port,"Hotel Rafael Diagonal Port, Carrer Lope de Vega 4, Barcelona"
HB-004196,Barna Hostal,"Barna Hostal, Rambla Catalunya 102, Barcelona"
HB-004197,Evenia Rocafort,"Hotel Evenia Rocafort, Carrer Rocafort 23-25, Barcelona"
HB-004198,Absolut,"Hotel Absolut, Carrer de Casanova 72, Barcelona"
HB-004204,Barceló Hotel Atenea Mar,"Barceló Hotel Atenea Mar, Passeig Garcia Faria 37-47, Barcelona"
HB-004206,Hostal Eden III,"Hostal Eden III, Carrer Balmes 55, Barcelona"
HB-004211,H10 Universitat,"Hotel H10 Universitat, Ronda Universitat 21, Barcelona"
HB-004212,HOTEL LEONARDO GRAN VIA,"HOTEL LEONARDO GRAN VIA, Carrer DIPUTACIO 100, Barcelona"
HB-004214,Zenit Borrell,"Hotel Zenit Borrell, Carrer Comte Borrell 208, Barcelona"
HB-004222,"Inn Ninot Barcelona, S.L.","Hotel Inn Ninot Barcelona, S.L., Carrer de Muntaner 175, Barcelona"
HB-004225,Barcelona Center Inn,"Hotel Barcelona Center Inn, Carrer Bailèn 47, Barcelona"
HB-004232,Raval Rooms,"Hotel Raval Rooms, Carrer Hospital 149-155, Barcelona"
HB-004236,Citypark Pelai,"Hotel Citypark Pelai, Carrer Pelai 1, Barcelona"
HB-004250,MEDICAL HOME BARCELONA MADRID SL,"Hotel MEDICAL HOME BARCELONA MADRID SL, Gran Via de les Corts Catalanes 660, Barcelona"
HB-004255,Luxtal,"Hotel Luxtal, Carrer Tarragona 177, Barcelona"
HB-004264,Hostal Ciudad Condal 2,"Hostal Ciudad Condal 2, Carrer Mallorca 253, Barcelona"
