Hostal Abrevadero, Carrer Vila i Vilà 79, Barcelona
Hostal Valls, Carrer Laforja 82, Barcelona
Hostal Operaramblas, Carrer Sant Pau 20, Barcelona
Hotel Inglés, Carrer Boqueria 17, Barcelona
INTERNACIONAL RAMBLAS ATIRAM HOTEL, Carrer la Rambla 78, Barcelona
Hotel Montecarlo, Carrer Rambla 124, Barcelona
Hotel Comercio, Carrer Escudellers 15, Barcelona
Hotel Principal, Carrer Junta del Comerç 8-12, Barcelona
Hotel Layetana, Plaça Ramon Berenguer el Gran 2, Barcelona
Hostal Residencia Europa, Carrer Boqueria 18, Barcelona
Residencia 45, Carrer Tallers 45, Barcelona
Hotel Prisma, Avinguda Josep Tarradellas 119-121, Barcelona
Hotel Goya, Carrer Pau Claris 74, Barcelona
Hotel Lima, Carrer Fontanella 16, Barcelona
Hotel Eurostars Cristal Palace, Carrer Diputació 257, Barcelona
Hotel Zènit Barcelona, Carrer Santaló 8, Barcelona
Hotel Lourdes, Carrer Princesa 14, Barcelona
Hotel Barcelona Center Inn, Carrer Gran Via Corts Catalanes 688, Barcelona
Hotel Turisol, Passatge Escudellers 7, Barcelona
Hotel Sense especificar, Carrer Pelai 62, Barcelona
Hotel Bienestar, Carrer Quintana 3, Barcelona
Hotel GAT RAVAL, Carrer de Joaquín Costa 44, Barcelona
Hotel Boutique Barcelona, Carrer Pau Claris 145, Barcelona
Hotel Amílcar, Carrer Amílcar 118-116, Barcelona
Hotel Girona, Carrer Girona 24, Barcelona
VAGANTO HOTEL S.L., Carrer d'en Fontrodona 1, Barcelona
Hostal Razio Central Station BCN, Carrer Hospital 93, Barcelona
Hotel Albi, Carrer Avinyó 58, Barcelona
Hotel Bresus, Carrer Sant Pere més Alt 61, Barcelona
Hotel Canaletas, Carrer Rambla 133, Barcelona
Hotel Noya, Carrer Rambla 133, Barcelona
Hotel Ciudadela, Carrer Comerç 33, Barcelona
Hotel El Puchi Barcelona, Carrer Gran Via Corts Catalanes 576, Barcelona
Hotel Venècia, Carrer Junta del Comerç 13, Barcelona
Hotel Santo Domingo, Carrer Sant Domènec del Call 3-5, Barcelona
HOTEL LA PAU, Carrer JOSEP ANSELM CLAVÉ 17, Barcelona
Hotel Las Flores, Carrer Rambla 79, Barcelona
Hotel Chic  Basic Tallers, Carrer Tallers 82, Barcelona
Hotel Hosteria Grau, Carrer Ramelleres 27, Barcelona
Hotel Triunfo, Passeig Picasso 22, Barcelona
Hotel Aneto, Carrer Carme 38, Barcelona
Hotel Turín, Carrer Pintor Fortuny 9, Barcelona
Hotel Lleida, Carrer Còrsega 201, Barcelona
Hotel Alberdi, Carrer Torrent de l' Olla 95, Barcelona
Hostal Hill, Carrer Provença 323, Barcelona
Hotel Laforja, Carrer Laforja 63, Barcelona
Hotel RIO DE CASTRO, Avinguda del Paral·lel 119, Barcelona
Hotel Aris, Carrer Fontanella 14, Barcelona
Hotel Elkano, Carrer Elkano 78, Barcelona
Hostal Conde Guell, Carrer Comte de Güell 32, Barcelona
HOTEL BRICK (antigo Hotel Climent), Gran Via de les Corts Catalanes 304, Barcelona
Hotel Mari Luz Eva, Carrer Palau 4, Barcelona
Hostal Drassanes, Carrer Ample 7, Barcelona
Hostal River, Carrer Sant Pau 15, Barcelona
Sant Antoni Hostal - Sustainable tourism, Carrer de Villarroel 47, Barcelona
Hotel Portbou, Carrer Comerç 29, Barcelona
Hotel Coronado, Carrer Nou de la Rambla 134, Barcelona
HOTEL SOFIA, Plaça de Pius XII 4, Barcelona
Hotel Bèjar, Carrer Béjar 36-38, Barcelona
Hotel San Ramón, Carrer Sant Ramon 15, Barcelona
Hotel Madrazo, Carrer Madrazo 103, Barcelona
Hotel Limehome, Carrer de Fontcoberta 4, Barcelona
Hotel Barcelona City Seven, Carrer Aribau 233-235, Barcelona
Hotel Catalonia Plaça Catalunya, Carrer Bergara 11, Barcelona
Hotel Best Western Alfa Aeropuerto, Lloc Franca-carrer K s/n, Barcelona
Hotel Bèjar 2, Carrer Bèjar 37, Barcelona
Hotel LA FRANÇA TRAVELLERS, Carrer de la França Xica 40, Barcelona
Hotel Guitart Grand Passage, Carrer Muntaner 212, Barcelona
Hotel Atlantis, Carrer Pelai 20, Barcelona
Gran Hotel Havana, Gran Via de les Corts Catalanes 647, Barcelona
