licencia_id,origen,municipio,direccion_consultada,lat,lon,etiqueta_icgc,geocodificado,en_ciudad,municipio_poligono,municipio_coincide
HB-004028,hotel_at,Barcelona,"Carrer Indústria 81, Barcelona",41.4057108,2.16911983,,True,True,Barcelona,True
HB-000457,hotel_at,Barcelona,"Carrer Reina Cristina 2, Barcelona",41.38135744,2.18321589,,True,True,Barcelona,True
HB-004489,hotel_at,Barcelona,"Carrer Sepúlveda 187, Barcelona",41.38412229,2.16354684,,True,True,Barcelona,True
HB-000502,hotel_at,Barcelona,"Carrer Castillejos 204, Barcelona",41.4037968,2.18205223,,True,True,Barcelona,True
HB-000491,hotel_at,Barcelona,"Carrer Quintana 3, Barcelona",41.38128194,2.17433758,,True,True,Barcelona,True
HB-004495,hotel_at,Barcelona,"Carrer Bruc 117, Barcelona",41.39640033,2.16659005,,True,True,Barcelona,True
HB-004496,hotel_at,Barcelona,"Carrer Pau Clarís 104, Barcelona",41.39123195,2.16928395,,True,True,Barcelona,True
HB-004497,hotel_at,Barcelona,"Carrer Diputació 346, Barcelona",41.39644632,2.17528966,,True,True,Barcelona,True
HB-000485,hotel_at,Barcelona,"Carrer Simó Oller 1, Barcelona",41.37997958,2.17989358,,True,True,Barcelona,True
HB-000478,hotel_at,Barcelona,"Passatge Escudellers 7, Barcelona",41.37888779,2.1767219,,True,True,Barcelona,True
HB-004503,hotel_at,Barcelona,"Ronda de Sant Pere 53, Barcelona",41.39151227,2.17914274,,True,True,Barcelona,True
HB-004506,hotel_at,Barcelona,"Carrer Mallorca 285, Barcelona",41.39610015,2.16538023,,True,True,Barcelona,True
HB-004509,hotel_at,Barcelona,"Carrer Aragó 281, Barcelona",41.39322136,2.16601054,,True,True,Barcelona,True
HB-000467,hotel_at,Barcelona,"Carrer Jerusalem 30, Barcelona",41.38189524,2.1707537,,True,True,Barcelona,True
HB-004511,hotel_at,Barcelona,"Carrer Casp 38, Barcelona",41.39020411,2.17201869,,True,True,Barcelona,True
HB-004512,hotel_at,Barcelona,"Carrer Verdi 254, Barcelona",41.41028909,2.15073964,,True,True,Barcelona,True
HB-004517,hotel_at,Barcelona,"Carrer Pau Claris 72, Barcelona",41.38930154,2.1718535,,True,True,Barcelona,True
HB-004486,hotel_at,Barcelona,"Carrer Roger de Llúria 46, Barcelona",41.39230414,2.17012872,,True,True,Barcelona,True
HB-004519,hotel_at,Barcelona,"Carrer Casp 31, Barcelona",41.39081621,2.1724614,,True,True,Barcelona,True
HB-000456,hotel_at,Barcelona,"Carrer Rambla 138, Barcelona",41.37312077,2.16798258,,True,True,Barcelona,True
HB-000454,hotel_at,Barcelona,"Carrer Gran Via Corts Catalanes 688, Barcelona",41.39318936,2.17372725,,True,True,Barcelona,True
HB-000448,hotel_at,Barcelona,"Carrer Nou de Sant Francesc 23, Barcelona",41.37875896,2.17777534,,True,True,Barcelona,True
HB-004525,hotel_at,Barcelona,"Carrer Còrsega 373, Barcelona",41.39918493,2.16265834,,True,True,Barcelona,True
HB-004527,hotel_at,Barcelona,"Carrer Rambla 106, Barcelona",41.37544908,2.17040026,,True,True,Barcelona,True
HB-004533,hotel_at,Barcelona,"Carrer Balmes 23, Barcelona",41.38784934,2.16438796,,True,True,Barcelona,True
HB-004536,hotel_at,Barcelona,"Carrer Pau Claris 72, Barcelona",41.38930154,2.1718535,,True,True,Barcelona,True
HB-004537,hotel_at,Barcelona,"Carrer Riera Sant Miquel 74, Barcelona",41.3987292,2.15415468,,True,True,Barcelona,True
HB-004540,hotel_at,Barcelona,"Passatge Banca 2, Barcelona",41.37722308,2.17693485,,True,True,Barcelona,True
HB-000443,hotel_at,Barcelona,"Carrer Princesa 14, Barcelona",41.38484012,2.17991866,,True,True,Barcelona,True
HB-004542,hotel_at,Barcelona,"Avinguda Diagonal 433B, Barcelona",41.39413644,2.15103134,,True,True,Barcelona,True
HB-000439,hotel_at,Barcelona,"Carrer Mallorca 255, Barcelona",41.39337193,2.16175861,,True,True,Barcelona,True
HB-004546,hotel_at,Barcelona,"Carrer Padua 83, Barcelona",41.40509664,2.14508447,,True,True,Barcelona,True
HB-004487,hotel_at,Barcelona,"Carrer Mallorca 1, Barcelona",41.37917979,2.14292579,,True,True,Barcelona,True
