licencia_id,nombre_registro,nombre_google,precio_rescatado,metros,similitud,estrellas_censo,estrellas_google,confianza,veredicto
ATB-000089,Hostemplo,Hostemplo Sagrada Família,244.26,4.8,0.529,,4.0,media,
HB-000005,Hostal Abrevadero,Hostal & Apartamentos Bedmates,102.56,13.3,0.323,,2.0,media,
HB-000033,Hostal Operaramblas,Homenfun Barcelona Las Ramblas,597.69,105.0,0.643,,,media,
HB-000053,Continental,Hotel Monegal,107.5,78.2,0.556,3.0,2.0,media,
HB-000063,Roma Reial,Barcelona Classic Plaza Real Apartments,285.12,45.4,0.429,1.0,,media,
HB-000371,jaume I,AinB Gothic-Jaume I Apartments,187.8,15.9,0.538,1.0,,media,
HB-000454,Barcelona Center Inn,"Casa Consell Gran Via, Guest House",199.26,15.6,0.323,,2.0,media,
HB-000723,Orleans,El Born Guest House by Casa Consell,194.09,54.8,0.417,,1.0,media,
HB-001130,Hostal Razio Central Station BCN,"Premium Central appartment: 4 beds & baths, 9pax",280.5,28.3,0.431,,,media,
HB-001199,Colmenero,Ola Living Petritxol,260.38,46.2,0.345,,,media,
HB-001219,Gótico,AinB Gothic Jaume I,157.64,35.9,0.4,4.0,3.0,media,
HB-001855,HOTEL LA PAU,Hotel Boutique La Pau,265.88,4.4,0.5,,4.0,media,
HB-001951,Chic Basic Tallers,chic&basic Lemon Boutique Hotel,177.19,83.0,0.605,,2.0,media,
HB-002211,Hosteria Grau,Eco Boutique Hostal Grau,173.61,4.9,0.533,,2.0,media,
HB-002644,Marina Folch,Old City Beach House,392.5,36.5,0.308,1.0,,media,
HB-002927,HOTEL BRICK (antigo Hotel Climent),Hotel Brick Barcelona,128.54,5.0,0.4,1.0,,media,
HB-003078,Peiró,HelloBCN Hostel,47.04,24.1,0.308,,1.0,media,
HB-003147,Brustar Gòtic,We Boutique Hotel,289.0,46.3,0.333,,4.0,media,
HB-003356,Sant Antoni Hostal - Sustainable tourism,HOSTAL SANT ANTONI,105.53,9.1,0.524,,,media,
HB-003781,Barcelona Gotic,Sweett | Gothic Baixos,386.58,58.2,0.4,,,media,
HB-003875,LA FRANÇA TRAVELLERS,La Fransa Hotel Boutique,123.83,15.5,0.5,2.0,,media,
HB-003914,Atlantis,Amister Apartments,248.04,36.6,0.4,3.0,4.0,media,
HB-003947,NH Sant'Angelo,chic&basic Velvet Hotel,196.34,8.3,0.387,3.0,3.0,media,
HB-004092,Goya Principal,Hostal Amra,190.0,49.5,0.333,,2.0,media,
HB-004101,HOTEL EXE LAIETANA PALACE,Eurostars Laietana,184.23,8.9,0.541,4.0,4.0,media,
HB-004104,Que Tal,Hostal Medea Barcelona,119.41,17.5,0.333,,2.0,media,
HB-004194,Sansi Diputació,Hotel Sansi Barcelona,130.84,16.9,0.5,4.0,4.0,media,
HB-004195,Rafael Diagonal Port,LV12 Apartamento al lado de la playa,296.5,38.1,0.32,4.0,,media,
HB-004204,Barceló Hotel Atenea Mar,Occidental Atenea Mar - Adults Only,293.13,24.7,0.51,4.0,4.0,media,
HB-004300,Eurostars Anglí,Ikonik Anglí,120.36,4.7,0.519,4.0,4.0,media,
HB-004309,Petit Palace BCN,Fisa Rentals Gran Vía Apartments,188.18,30.7,0.303,4.0,4.0,media,
HB-004321,Abac restaurant  hotel,ABaC Hotel,313.35,24.6,0.5,5.0,5.0,media,
HB-004348,Sunotel Central,Petit Palace Eixample,159.76,8.0,0.333,4.0,4.0,media,
HB-004361,Martina,B-Garden BCN,277.7,13.1,0.4,,,media,
HB-004375,Atlas,May Ramblas Hotel Barcelona,173.27,34.7,0.5,3.0,3.0,media,
HB-004409,Oliveta,Mambo Tango,91.77,12.6,0.333,,2.0,media,
HB-004490,The Mirror Barcelona,Hotel Arconte,207.87,15.3,0.308,4.5,4.0,media,
HB-004505,Brustar Centric,Feelathome Center Apartments,211.92,5.6,0.438,2.0,,media,
HB-004515,Catalonia Catedral,Aspasios Catedral Apartments,304.49,95.2,0.686,4.0,4.0,media,
HB-004518,HOUSE BY PILLOW,BYPILLOW House | Hotel en Barcelona - Horta,137.5,2.1,0.522,1.0,1.0,media,
HB-004527,Apartamentos Ramblas 108,Charmsuites Nou Rambla,290.86,113.3,0.565,3.0,,media,
HB-004530,Hotel Do Plaça Reial,Plaza Real Clásico - Superior Studio,234.84,55.4,0.375,5.0,,media,
HB-004564,Sunotel Club Central,Petit Palace Trencadis,174.57,8.2,0.333,4.0,4.0,media,
HB-004569,Bella Lola,Be Mate Paseo de Gracia,200.97,5.9,0.4,,4.0,media,
HB-004602,Exprés 1,Hostal Express by gaiarooms,175.58,4.8,0.56,,2.0,alta,
HB-004626,Barcelona 226,Barcelona 226 Exclusive Rooms & Apartments,128.31,0.8,0.5,,4.0,media,
HB-004641,Casa Maca Guest House,CasaNova Guest House,122.16,9.8,0.588,1.0,,alta,
HB-004691,Cotton House,ICON BCN,219.81,92.7,0.6,5.0,4.0,media,
HB-004767,Hotel Boutique 2015,Hotel ITC Barcelona by Soho Boutique,141.95,49.9,0.533,2.0,2.0,media,
HB-004805,45 Times Barcelona Hotel,BLESS Barcelona,438.17,3.3,0.308,4.5,5.0,media,
HB-004844,COOLROOMS MALDA,Maldà Singular Hotel,212.48,3.9,0.5,,3.0,media,
