licencia_id,nombre_registro,nombre_google,habitaciones,categoria,price_level,precio_desde,precio_hasta,moneda,rating,n_valoraciones,sirve_desayuno,sirve_comida,sirve_cena
HB-003984,Arts Barcelona,Hotel Arts Barcelona,494,Gran luxe,,,,,4.5,4739,,,
HB-004411,W Barcelona,W Barcelona,477,Gran luxe,,,,,4.4,18894,,,
HB-003487,HOTEL SOFIA,Grand Hyatt Barcelona,466,Gran luxe,,,,,4.4,4391,,,
HB-003961,Hotel Gran Melià Torre Melina,"Torre Melina, a Gran Meliá Hotel",432,5 estrelles,,,,,4.5,1047,,,
HB-004202,Hilton Diagonal Mar,Hilton Diagonal Mar Barcelona,431,4 estrelles,,,,,4.3,4693,,,
HB-003580,MOXY BARCELONA,Moxy Barcelona,414,4 estrelles,,,,,4.1,1324,,,
HB-003954,Barceló Sants,Barceló Sants,377,4 estrelles,,,,,4.3,6233,,,
HB-004223,Leonardo Royal Hotel Barcelona Forum,Leonardo Royal Hotel Barcelona Forum,368,4 estrelles,,,,,4.0,500,,,
HB-004302,Barcelona Princess,Hotel Barcelona Princess,364,4 estrelles,,,,,4.2,6352,,,
HB-003967,Catalonia Barcelona Plaza,Hotel Catalonia Barcelona Plaza,347,4 estrelles,,,,,4.2,6497,,,
