trimestre,anyo,stock,altas,bajas,variacion_neta
2018_2T,2018,9603,,,
2018_3T,2018,9613,25.0,15.0,10.0
2018_4T,2018,9581,2.0,34.0,-32.0
2019_1T,2019,9561,14.0,34.0,-20.0
2019_2T,2019,9576,26.0,11.0,15.0
2019_3T,2019,9570,14.0,20.0,-6.0
2019_4T,2019,9572,25.0,23.0,2.0
2020_1T,2020,9563,9.0,18.0,-9.0
2020_2T,2020,9563,0.0,0.0,0.0
2020_3T,2020,9541,1.0,23.0,-22.0
2020_4T,2020,9536,2.0,7.0,-5.0
2021_1T,2021,9467,2.0,71.0,-69.0
2021_2T,2021,9436,2.0,33.0,-31.0
2021_3T,2021,9432,33.0,37.0,-4.0
2021_4T,2021,9403,22.0,51.0,-29.0
2022_1T,2022,9363,2.0,42.0,-40.0
2022_2T,2022,9300,1.0,64.0,-63.0
2022_3T,2022,9430,137.0,7.0,130.0
2023_1T,2023,9451,78.0,57.0,21.0
2023_2T,2023,9370,84.0,165.0,-81.0
2023_3T,2023,9659,301.0,12.0,289.0
2023_4T,2023,9923,356.0,92.0,264.0
2024_2T,2024,10294,411.0,40.0,371.0
2024_3T,2024,10374,91.0,11.0,80.0
2024_4T,2024,10417,44.0,1.0,43.0
2025_1T,2025,10514,108.0,11.0,97.0
2025_2T,2025,10569,68.0,13.0,55.0
2025_3T,2025,10688,134.0,15.0,119.0
2025_4T,2025,10723,42.0,7.0,35.0
2026_1T,2026,10730,14.0,7.0,7.0
