licencia_id,nombre_registro,nombre_google,precio_rescatado,metros,similitud,estrellas_censo,estrellas_google,confianza
ATB-000001,Atenea Calabria,Atenea Calabria Apartaments,154.19,3.1,1.0,,3.0,alta
ATB-000005,Silver,Aparthotel Silver Barcelona,144.44,7.1,1.0,,3.0,alta
ATB-000009,SENATOR BARCELONA APARTMENTS,Senator Barcelona Apartments,139.5,2.0,1.0,,3.0,alta
ATB-000042,MASTER LA RAMBLA,master La Rambla,299.27,19.3,1.0,,,alta
ATB-000062,Tibidabo Apartments,Tibidabo Apartments,190.0,46.4,1.0,,4.0,alta
ATB-000083,DV Apartamentos,Apartamentos DV,133.81,13.5,1.0,,4.0,alta
ATB-000086,Midtown Apartments,Midtown Apartments Barcelona,283.62,7.0,1.0,,4.0,alta
ATB-000276,MONTURIOL APARTAMENTS,Monturiol Apartaments,179.47,3.2,1.0,,,alta
HB-003693,San Ramón,Hostal Pensió Sant Ramon,92.44,0.8,0.947,,2.0,alta
HB-003878,Rívoli Ramblas,Hotel SERHS Rivoli Rambla Barcelona,184.42,7.1,0.788,4.0,4.0,alta
HB-004107,BCN Condal Apartments,HOSTAL BCN Condal,114.54,14.0,1.0,,2.0,alta
HB-004493,Edifici La República,República Barcelona Apartment,167.64,12.5,0.692,4.0,3.0,alta
HB-004610,Argó 305,Hostal Argo,115.26,4.9,0.667,,3.0,alta
OPENDATA-99400784517,Hotel Ibis Budget Barcelona Center,Ibis Budget Barcelona Center,146.81,4.7,1.0,,1.0,alta
HB-001855,HOTEL LA PAU,Hotel Boutique La Pau,265.88,4.4,0.5,,4.0,manual
HB-002211,Hosteria Grau,Eco Boutique Hostal Grau,173.61,4.9,0.533,,2.0,manual
HB-002927,HOTEL BRICK (antigo Hotel Climent),Hotel Brick Barcelona,128.54,5.0,0.4,1.0,,manual
HB-003356,Sant Antoni Hostal - Sustainable tourism,HOSTAL SANT ANTONI,105.53,9.1,0.524,,,manual
HB-004518,HOUSE BY PILLOW,BYPILLOW House | Hotel en Barcelona - Horta,137.5,2.1,0.522,1.0,1.0,manual
HB-004626,Barcelona 226,Barcelona 226 Exclusive Rooms & Apartments,128.31,0.8,0.5,,4.0,manual
HB-004844,COOLROOMS MALDA,Maldà Singular Hotel,212.48,3.9,0.5,,3.0,manual
