DATA_EXPLO,OCUPACIO,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,EMPLACAMENT,SUPERFICIE_OCUPADA,TAULES,CADIRES,TAULES_VORERA,CADIRES_VORERA,TAULES_CALCADA,CADIRES_CALCADA,ORDENACIO,VIGENCIA,X_ETRS89,Y_ETRS89,LATITUD,LONGITUD
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,6,la Sagrada Família,"AV. GAUDI, 46",36.0,12.0,48.0,12.0,48.0,0.0,0.0,General,Anual,31007223,84420492,41.4083712701906,2.17453673339805
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,6,la Sagrada Família,"C. PROVENÇA, 419-425",13.5,6.0,24.0,6.0,24.0,0.0,0.0,General,Anual,30910779,83919481,41.4038505495035,2.17344013792974
1/7/2026 0:00:00,Terrasses en Via Pública,9,Sant Andreu,63,Navas,"C. ESPRONCEDA, 367",4.5,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,32147523,85442738,41.4176753827708,2.18806386878314
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,10,Sant Antoni,"C. MARQUES DE CAMPO SAGRADO, 25",9.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,30150607,80895322,41.3765472689712,2.16469536043252
1/7/2026 0:00:00,Terrasses en Via Pública,1,Ciutat Vella,3,la Barceloneta,"PG. JOAN BORBO COMTE BARCELONA, 38",22.5,9.0,36.0,9.0,36.0,0.0,0.0,General,Anual,32125928,81075852,41.3783422913283,2.18829501463847
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,73,la Verneda i la Pau,"C. EXTREMADURA, 11",9.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,33998043,86103198,41.4237780905442,2.21013342981303
1/7/2026 0:00:00,Terrasses en Via Pública,4,Les Corts,20,la Maternitat i Sant Ramon,"C. COMANDANT BENITEZ, 26",2.4,2.0,4.0,2.0,4.0,0.0,0.0,General,Anual,26930990,81354968,41.3804012109464,2.12614186454064
1/7/2026 0:00:00,Terrasses en Via Pública,3,Sants-Montjuïc,15,Hostafrancs,"C. TARRAGONA, 129",13.5,6.0,24.0,6.0,24.0,0.0,0.0,General,Anual,28589686,81011470,41.3774563703802,2.14601713149637
1/7/2026 0:00:00,Terrasses en Via Pública,1,Ciutat Vella,3,la Barceloneta,"PG. JOAN BORBO COMTE BARCELONA, 65",27.0,12.0,48.0,12.0,48.0,0.0,0.0,General,Anual,32194341,80838256,41.376208093024,2.1891396660222
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,6,la Sagrada Família,"AV. GAUDI, 66",12.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,31007048,84626422,41.4102259966535,2.17451116103995
1/7/2026 0:00:00,Terrasses en Via Pública,8,Nou Barris,45,Porta,"PG. FABRA I PUIG, 148",13.5,6.0,24.0,6.0,24.0,0.0,0.0,General,Anual,31534497,86856191,41.4303538622073,2.18056895598854
1/7/2026 0:00:00,Terrasses en Via Pública,8,Nou Barris,45,Porta,"PG. CIUTAT DE MALLORCA, 1-3",9.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,31474134,87093022,41.4324817654259,2.17981972190503
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,"C. LLULL, 57",9.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,32512888,82832730,41.3941985773252,2.19272651290058
1/7/2026 0:00:00,Terrasses en Via Pública,7,Horta-Guinardó,34,Can Baró,"C. FRANCESC ALEGRE, 5",22.5,9.0,36.0,9.0,36.0,0.0,0.0,General,Anual,30335004,85222416,41.4155359302174,2.16640245707719
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,8,l'Antiga Esquerra de l'Eixample,"C. MUNTANER, 152",5.7,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,29302470,82460265,41.3905681039809,2.15437124274186
